symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
APOE	0.7815022228562081	0.9545947885989498	No data	0.831982417674495	No data	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.2670020417823128	No data	No data	0.9984835699649396	0.017251532679053088	0.2687054125443365	No data	0	1	0	0	0	0	No data	0.531053502482074	-0.9832055691366653	0	-1	No data	0	0.5	-1
CR1	0.5958776464330214	0.9359855784572243	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8837580617426841	No data	No data	0.5	1	0	0	0	0	0	No data	-0.32884721456150023	-0.5723828680709955	0	No data	No data	0	0.5	0
TREM2	0.5724815273910075	0.8922170398317504	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9894320485676672	No data	No data	No data	0	1	0	0	0	0	No data	0.4027578599007171	-0.7005801128736927	0	No data	No data	0	0.5	0
MS4A6A	0.5346230457874066	0.8675984651412025	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23631699185887178	No data	No data	No data	0	0	0	0	0	0	No data	0.5428571428571429	No data	0	No data	No data	0	-1	-1
SORL1	0.6833832980221779	0.8661410510265042	0.39314961120901953	0.31612401475804297	0.3039653988058105	No data	0.3039653988058105	0.44488713508550437	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9717954040517236	0.04768036208430157	0.6326456669186236	No data	1	1	0	0	0	0.6612450000000003	No data	-0.6372862658576944	-0.8302800216342751	0	No data	No data	0	-1	-1
BIN1	0.5536359878221929	0.8620593824532746	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9725955643286558	No data	No data	No data	0	0	0	0	0	0	No data	-0.2583563154991726	-0.8051421529011327	0	No data	No data	0	0.75	-1
PLCG2	0.5447611002071141	0.8519019438898575	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8837740110157908	No data	No data	No data	0	0	0	1	0	0.7075099999999999	No data	-0.7297297297297297	-0.8158814739046194	0	No data	No data	0	0.5	0
APH1B	0.6183318659098008	0.8474503741559389	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6432229884302734	No data	No data	No data	0.39837808357294135	No data	No data	1	0	0	1	1	0	0.20233500000000007	No data	0.5385548814120242	0	0	No data	No data	0	1	-1
CLU	0.5426097411545774	0.8430731231629635	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9782015954727921	0.02558786498941004	No data	0.75	0	1	0	0	0	0	No data	-0.41588527302813016	-0.9205909862207323	0	No data	No data	0	0.5	-1
ACE	0.6206966406201572	0.8405136166229384	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	0.9406526131348519	No data	No data	1	0	1	1	1	1	0.16539	No data	-0.15377826806398232	-0.9741134275683322	0	-1	No data	0	0.5	0
EPHA1	0.5952292490307641	0.8326927638845806	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5531979966234456	No data	No data	0.36515943054131667	No data	No data	1	1	0	1	1	0	0.4108600000000003	No data	0.03530060672917812	-0.0710805203688758	0	-1	No data	0	0.75	0
GRN	0.5872056271568885	0.8324041207129533	No data	0.4377101742803672	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9337546239960293	No data	0.2661521031943677	No data	0	1	1	1	0	0	0	-0.5810259238830667	-0.9475329837834623	0	No data	No data	No data	-1	-1
CASS4	0.49870117264777314	0.8077169921233297	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2521713791073562	No data	No data	No data	0	0	0	0	0	0	No data	-0.6551571980143409	No data	0	No data	No data	0	0.5	0.5
CD2AP	0.5136010592615005	0.7995405101691935	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9058846598895794	No data	No data	No data	1	0	0	0	0	0.31142499999999984	No data	-0.26177606177606183	-0.8137095355930937	0	No data	No data	0	-1	-1
CD33	0.5796367096477516	0.7907495716891095	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5688988359014587	No data	No data	0.9217841891769449	No data	No data	1	1	0	0	0	0	No data	No data	0.188527302813017	-0.8065639751303407	0	No data	No data	0	0.5	0
NCK2	0.5411871507127486	0.788071023504808	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3903072934014509	No data	No data	0.20537649217420803	No data	No data	No data	0	0	0	0	0	0.80263	No data	-0.39459459459459456	No data	0	No data	No data	-0.2105274999999999	-1	-1
PICALM	0.5030910866104019	0.7814332137219766	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9222684497092316	No data	No data	No data	0	0	0	0	0	0.8849699999999998	No data	-0.508108108108108	-0.8383679562509885	0	No data	No data	0	-1	-1
INPP5D	0.49941467025082475	0.7772334312668707	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8853155838152121	No data	No data	0.75	0	0	0	0	0	0.3860399999999998	No data	-0.8156646442360728	-0.8684619726424581	No data	No data	No data	0	0.5	0
CTSB	0.4899181715213121	0.7615116053290761	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.887331716342225	No data	No data	No data	0	1	1	1	1	0	No data	0.82426916712631	-0.2088763007696509	0	No data	No data	0	0.5	-1
SHARPIN	0.46888188739637154	0.7531827523842106	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3618469745350522	No data	No data	No data	1	0	0	1	0	0	No data	-0.11450634307777163	-0.7749801323561342	0	No data	No data	0	-1	-1
RASGEF1C	0.4567148897054895	0.7491261257303912	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04270376113889632	No data	No data	No data	0	0	0	0	0	0.7317599999999999	No data	-0.5483728626585769	No data	0	No data	No data	-0.2221025000000001	1	0.5
SLC24A4	0.4594171011045164	0.7457876802444409	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19837132214002548	No data	No data	No data	1	0	0	0	0	0.6945349999999998	No data	-0.18466629895201325	-0.6693099397775356	0	No data	No data	0	0.75	0.5
APP	0.8540101506507178	0.7358263027328259	No data	0.9316514342092063	0.607930797611621	No data	0.607930797611621	0.9580964074361958	0.607930797611621	No data	No data	No data	No data	No data	0.9129282017778076	No data	No data	0.607930797611621	0.9945959855988492	No data	0.39065633054522775	1	0	1	1	1	1	0.7402599999999999	No data	-0.7845559845559845	-0.899579176773613	0	No data	No data	0	-1	-1
ADAM10	0.6731749841223225	0.7240900500613989	No data	0.381307705835289	No data	No data	0.607930797611621	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9181134986705101	0.02040312242200407	No data	No data	1	0	1	1	0	0.8061500000000003	0	-0.9054605626034198	-0.8651152071929291	0	No data	No data	0	-1	-1
PTK2B	0.45864206390855133	0.7202824083962414	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6829792123763289	No data	No data	0.75	1	0	1	1	1	0.7720500000000001	1	-0.6188637617209045	0	0	No data	No data	0	0.5	-1
TMEM106B	0.46164404121560887	0.7143918946786562	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8995499811412594	No data	No data	No data	0	0	0	0	0	0.7992699999999999	No data	-0.26530612244897955	-0.30023325974224163	0	No data	No data	No data	-1	-1
MS4A4E	0.4337431668748249	0.7093622228906125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08224702308895078	No data	No data	No data	0	0	0	0	0	0	No data	0.8894649751792609	-0.241043657495503	No data	No data	No data	0	-1	0
