logFC,logCPM,F,PValue,adj_pval,target_id,HGNC_symbol
0.014099532,3.805999519,0.123848236,0.725210483,0.873528164,ENSG00000000003,TSPAN6
-0.087279809,4.63013194,5.627830463,0.01847716,0.156918129,ENSG00000000419,DPM1
-0.047248431,4.440681436,2.919622841,0.088817786,0.319773521,ENSG00000000457,SCYL3
0.017412677,3.40660593,0.298984116,0.585034657,0.794139921,ENSG00000000460,FIRRM
0.049804265,2.529567732,0.430382707,0.512438472,0.746800577,ENSG00000000938,FGR
-0.200962245,5.658390209,6.259830048,0.013025966,0.134834296,ENSG00000000971,CFH
0.009151719,3.871744341,0.113381405,0.736624877,0.880065251,ENSG00000001036,FUCA2
-0.047471376,5.813667068,3.510405572,0.062215346,0.270902678,ENSG00000001084,GCLC
0.036030799,5.446203028,2.40210597,0.122506547,0.37810632,ENSG00000001167,NFYA
0.011359516,4.169855071,0.189333414,0.663868069,0.83983261,ENSG00000001460,STPG1
0.004291774,7.296655297,0.041574888,0.838607259,0.932031664,ENSG00000001461,NIPAL3
-0.016127521,5.038160973,0.285730312,0.593470919,0.799070866,ENSG00000001497,LAS1L
-0.065719475,7.048191498,3.637273775,0.05770861,0.260753676,ENSG00000001561,ENPP4
0.138764661,2.529254843,3.31818219,0.069779986,0.28661694,ENSG00000001617,SEMA3F
-0.043168053,2.688125472,0.812695897,0.368240483,0.640813133,ENSG00000001626,CFTR
-0.040588414,7.670864629,3.900788455,0.049424197,0.243732905,ENSG00000001629,ANKIB1
-0.049583995,3.418275386,1.444130926,0.23067204,0.50973666,ENSG00000001630,CYP51A1
-0.014877544,4.073838215,0.374376466,0.541215007,0.766589183,ENSG00000001631,KRIT1
0.052939067,4.593528532,1.30106931,0.255169577,0.534602434,ENSG00000002016,RAD52
-0.00909164,4.313425588,0.101601725,0.750196705,0.887340122,ENSG00000002330,BAD
-0.056420791,5.785574023,1.372489911,0.242561146,0.522098077,ENSG00000002549,LAP3
-0.010264787,3.060674532,0.072964817,0.787303131,0.906437669,ENSG00000002587,HS3ST1
-0.071425715,1.562098041,0.932704827,0.335150051,0.612491736,ENSG00000002745,WNT16
-0.010560287,7.481058289,0.210766135,0.646588408,0.830535484,ENSG00000002746,HECW1
0.064541159,1.560706508,1.245037442,0.265637419,0.545469478,ENSG00000002822,MAD1L1
0.061505245,6.270930578,5.012374531,0.02609576,0.180622375,ENSG00000002834,LASP1
-0.031182175,4.4663475,2.165767647,0.142441021,0.4057257,ENSG00000002919,SNX11
0.05652506,2.79580903,0.974792932,0.324495807,0.604136129,ENSG00000002933,TMEM176A
-0.077304507,5.535281218,8.377827509,0.004152663,0.083487779,ENSG00000003056,M6PR
0.040935442,3.658409429,0.827237274,0.36399699,0.637801113,ENSG00000003096,KLHL13
-0.061399873,4.332126638,1.256749731,0.263402131,0.542707179,ENSG00000003137,CYP26B1
-0.108564898,6.179703705,12.94705925,0.000390044,0.036498751,ENSG00000003147,ICA1
0.0271054,4.615396593,0.300584044,0.58403267,0.793695507,ENSG00000003249,DBNDD1
0.010076578,7.136079103,0.25628442,0.613155029,0.811923597,ENSG00000003393,ALS2
