logFC,logCPM,F,PValue,adj_pval,target_id,HGNC_symbol
-0.203100115,4.592936795,33.59301702,2.13292507991961e-08,0.000323757,ENSG00000089123,TASP1
-0.173505004,5.634873057,31.21387874,6.26821181968115e-08,0.000475726,ENSG00000011260,UTP18
-0.227027748,6.188090691,26.02214774,6.87117124752534e-07,0.002951983,ENSG00000112541,PDE10A
0.138193143,6.30112808,25.04986181,1.08324656487323e-06,0.002951983,ENSG00000140948,ZCCHC14
0.391798295,3.832254159,24.89178817,1.1668685064627e-06,0.002951983,ENSG00000166535,A2ML1
0.572837709,0.727033789,25.24118923,9.98735822854252e-07,0.002951983,ENSG00000205835,GMNC
0.41883217,3.440787437,24.00714253,1.76983705770574e-06,0.003837765,ENSG00000140678,ITGAX
0.290968008,2.47846851,23.4559227,2.2975738862481e-06,0.003874986,ENSG00000172183,ISG20
0.34025872,6.878457762,23.65218185,2.09245471044053e-06,0.003874986,ENSG00000177807,KCNJ10
0.236719097,7.934134193,21.2638706,6.51939241593533e-06,0.005000058,ENSG00000038427,VCAN
0.252528723,3.575964064,21.87652867,4.86458121446539e-06,0.005000058,ENSG00000053702,NRIP2
0.432303527,3.62385484,21.61875913,5.50197826010344e-06,0.005000058,ENSG00000087116,ADAMTS2
0.118689351,8.829978816,21.52490827,5.75368934244317e-06,0.005000058,ENSG00000094916,CBX5
0.169121641,4.047605734,20.85070882,7.94860473359172e-06,0.005000058,ENSG00000103653,CSK
-0.752354125,5.278136591,22.32266878,3.93209110762988e-06,0.005000058,ENSG00000106236,NPTX2
-0.169656939,6.338548753,21.21280821,6.68084792235298e-06,0.005000058,ENSG00000107223,EDF1
0.15054314,6.663609186,20.43884873,9.68792926870215e-06,0.005000058,ENSG00000108349,CASC3
0.284211789,7.075921829,21.18943194,6.75608791860012e-06,0.005000058,ENSG00000117115,PADI2
0.291856773,9.754707032,21.67486076,5.35565250499179e-06,0.005000058,ENSG00000124942,AHNAK
-0.196347972,6.011642879,20.28992606,1.04081004232745e-05,0.005000058,ENSG00000125356,NDUFA1
-0.246233933,5.505863853,20.82082165,8.06289629947121e-06,0.005000058,ENSG00000132541,RIDA
0.15169158,5.716469494,20.13779511,1.11998138319308e-05,0.005000058,ENSG00000133789,SWAP70
0.112880447,6.179508671,21.02869365,7.2973108944698e-06,0.005000058,ENSG00000136485,DCAF7
0.149842978,2.924500537,20.60415465,8.94982539165176e-06,0.005000058,ENSG00000138092,CENPO
0.13441295,6.557179289,21.94304054,4.71190748056378e-06,0.005000058,ENSG00000147421,HMBOX1
0.237313828,5.753428838,20.54128604,9.22213368581266e-06,0.005000058,ENSG00000160991,ORAI2
0.136546715,6.437960276,20.50379576,9.38987164172763e-06,0.005000058,ENSG00000164741,DLC1
0.097396564,5.669286997,21.69039413,5.31610769612449e-06,0.005000058,ENSG00000174579,MSL2
-0.142014416,7.185433458,21.63728137,5.45271241455464e-06,0.005000058,ENSG00000176171,BNIP3
0.106033662,6.886182821,20.8371361,7.99987912926874e-06,0.005000058,ENSG00000185722,ANKFY1
-0.333873018,1.877238432,20.16416783,1.10752383295181e-05,0.005000058,ENSG00000188290,HES4
0.523794278,1.430440056,20.5649186,9.13977077545246e-06,0.005000058,ENSG00000196154,S100A4
0.492336622,3.06555987,20.19010855,1.09237475609895e-05,0.005000058,ENSG00000224389,C4B
0.124963469,4.705657957,20.30773555,1.03195280045252e-05,0.005000058,ENSG00000226479,TMEM185B
0.405323571,3.214757462,20.01917787,1.18611968455651e-05,0.005144032,ENSG00000166927,MS4A7
-0.158943695,5.046567713,19.95839915,1.22123010334752e-05,0.005149181,ENSG00000171530,TBCA
-0.104549231,5.103758236,19.60239229,1.45040705268223e-05,0.005257547,ENSG00000115446,UNC50
-0.140469798,5.888879496,19.59616869,1.4547531196003e-05,0.005257547,ENSG00000140374,ETFA
-0.165955196,4.358206487,19.65130831,1.41654027576128e-05,0.005257547,ENSG00000148935,GAS2
0.187958345,5.158858401,19.72078818,1.36972651227105e-05,0.005257547,ENSG00000165821,SALL2
0.370482424,4.07212907,19.8307977,1.29890010980523e-05,0.005257547,ENSG00000171388,APLN
-0.158313957,6.083641311,19.74064208,1.3566154156735e-05,0.005257547,ENSG00000266472,MRPS21
-0.155344777,5.846235167,19.18585303,1.77450854456418e-05,0.006264015,ENSG00000162687,KCNT2
0.147986024,7.083955738,19.02812279,1.91559368916146e-05,0.00646151,ENSG00000005339,CREBBP
-0.166711484,3.881430355,19.04839732,1.8969943206435e-05,0.00646151,ENSG00000172586,CHCHD1
0.118985047,4.909697837,18.90761669,2.03105349384804e-05,0.006702035,ENSG00000188786,MTF1
-0.122388435,4.250125991,18.71172897,2.23394460279658e-05,0.00721469,ENSG00000134597,RBMX2
0.221292748,5.365197912,18.57486442,2.38765522201255e-05,0.007374908,ENSG00000016391,CHDH
0.116881247,6.127120753,18.59738451,2.36160284274329e-05,0.007374908,ENSG00000072501,SMC1A
-0.196743542,7.687910527,18.49861401,2.47789900249276e-05,0.007374908,ENSG00000166681,BEX3
-0.141427495,8.639344922,18.5370162,2.43200508896767e-05,0.007374908,ENSG00000198162,MAN1A2
0.150460544,6.106376767,18.41607721,2.57953590384309e-05,0.007529765,ENSG00000053254,FOXN3
0.180791386,7.725662619,18.37144866,2.63622820691837e-05,0.007550058,ENSG00000173821,RNF213
-0.22631357,5.417275787,18.19272661,2.87627767491365e-05,0.007659477,ENSG00000111716,LDHB
-0.09451156,6.269879453,18.22273432,2.83444816078456e-05,0.007659477,ENSG00000143207,COP1
-0.328867904,1.059223686,18.24733664,2.8101400451567e-05,0.007659477,ENSG00000145863,GABRA6
0.266725666,2.659502611,18.25974244,2.78456663073344e-05,0.007659477,ENSG00000165309,ARMC3
0.111493248,7.01374875,18.08968261,3.02455701624435e-05,0.007915474,ENSG00000100393,EP300
0.075804465,7.140392758,17.89991531,3.31829147287943e-05,0.008537008,ENSG00000083168,KAT6A
-0.179162403,11.58526062,17.84824677,3.40316130668105e-05,0.008609431,ENSG00000152583,SPARCL1
0.130571543,4.016946527,17.43679134,4.16276918464787e-05,0.009402603,ENSG00000106144,CASP2
-0.158962389,5.102620867,17.42507715,4.18656867090467e-05,0.009402603,ENSG00000106591,MRPL32
0.263192373,2.212871815,17.39354166,4.25422017813246e-05,0.009402603,ENSG00000110446,SLC15A3
0.215837381,2.657393507,17.29109805,4.47213549345077e-05,0.009402603,ENSG00000111602,TIMELESS
-0.593852652,4.876233502,17.54400856,3.94961218696745e-05,0.009402603,ENSG00000128564,VGF
0.288084083,5.340602371,17.29956571,4.4523454088325e-05,0.009402603,ENSG00000148204,CRB2
0.170118477,10.76153551,17.38695587,4.26546652968477e-05,0.009402603,ENSG00000155980,KIF5A
-0.114402498,4.83850857,17.28345068,4.48771945105108e-05,0.009402603,ENSG00000163512,AZI2
0.165485156,2.986299847,17.45221412,4.13201565117407e-05,0.009402603,ENSG00000169181,GSG1L
0.222811532,5.545693239,17.26793376,4.52197147849541e-05,0.009402603,ENSG00000173706,HEG1
-0.197636121,6.721825958,17.29338107,4.46580185414168e-05,0.009402603,ENSG00000181061,HIGD1A
0.128423507,5.608094196,17.59661865,3.84905802234488e-05,0.009402603,ENSG00000184634,MED12
-0.167438592,4.46687694,17.41299053,4.21152646418918e-05,0.009402603,ENSG00000241468,ATP5MF
0.217474307,8.616294751,17.1689954,4.74693748889342e-05,0.009736995,ENSG00000159176,CSRP1
-0.238335221,7.396942207,17.10915996,4.88850475589518e-05,0.009763502,ENSG00000171476,HOPX
-0.14744016,6.492715163,17.12856343,4.84213906476702e-05,0.009763502,ENSG00000184305,CCSER1
0.569717161,0.88489475,17.04693958,5.05008114280396e-05,0.009955218,ENSG00000198774,RASSF9
-0.136851636,3.748388439,16.89652693,5.4275229213283e-05,0.010335829,ENSG00000135972,MRPS9
0.134058375,4.854421645,16.93147108,5.33476755455965e-05,0.010335829,ENSG00000137413,TAF8
-0.144475944,3.012735432,16.80659306,5.67359387086118e-05,0.010335829,ENSG00000160124,MIX23
0.213211348,5.59873641,16.8185608,5.6394387940554e-05,0.010335829,ENSG00000169604,ANTXR1
