logFC,logCPM,F,PValue,adj_pval,target_id,HGNC_symbol
0.006536073,3.805982094,0.023169023,0.879148351,0.954925649,ENSG00000000003,TSPAN6
-0.084459711,4.630144324,5.303594019,0.022151644,0.187814287,ENSG00000000419,DPM1
-0.039291528,4.440644452,2.030788061,0.15546112,0.447102922,ENSG00000000457,SCYL3
0.014068486,3.406525866,0.189135101,0.664034728,0.851227357,ENSG00000000460,FIRRM
-0.061581879,2.529635733,0.833705882,0.362135542,0.658875445,ENSG00000000938,FGR
-0.276969498,5.658393813,15.38155983,0.000115181,0.026489921,ENSG00000000971,CFH
-0.007799641,3.871768126,0.069417787,0.792416171,0.914066887,ENSG00000001036,FUCA2
-0.031956811,5.813670141,1.457738231,0.228498278,0.531796284,ENSG00000001084,GCLC
0.036627658,5.446190407,2.35259181,0.126413597,0.404779606,ENSG00000001167,NFYA
0.026224646,4.169868929,0.926611435,0.336729779,0.637150501,ENSG00000001460,STPG1
0.011722768,7.296659889,0.302013773,0.583142053,0.80475618,ENSG00000001461,NIPAL3
-0.019074411,5.038169627,0.422839747,0.516155608,0.763916339,ENSG00000001497,LAS1L
-0.061735151,7.04819182,3.071075666,0.080994575,0.329235335,ENSG00000001561,ENPP4
0.095621811,2.529289065,1.733217072,0.189278553,0.488698614,ENSG00000001617,SEMA3F
-0.022247024,2.687929322,0.228764549,0.632884262,0.83281753,ENSG00000001626,CFTR
-0.034462957,7.670864146,2.505090777,0.114817299,0.387384307,ENSG00000001629,ANKIB1
-0.042677276,3.418332114,1.058540888,0.304601209,0.610832508,ENSG00000001630,CYP51A1
-0.012552653,4.073781189,0.259457643,0.610968726,0.819232082,ENSG00000001631,KRIT1
0.036292772,4.593459923,0.626669846,0.42937398,0.705997201,ENSG00000002016,RAD52
-0.003226977,4.313442199,0.013163431,0.908755057,0.966216725,ENSG00000002330,BAD
-0.116790729,5.785590163,5.405872061,0.020917665,0.184236731,ENSG00000002549,LAP3
-0.014383148,3.060610914,0.138585602,0.710025188,0.874298072,ENSG00000002587,HS3ST1
-0.031302924,1.562087067,0.203525641,0.652305736,0.844347589,ENSG00000002745,WNT16
-0.001360903,7.481062003,0.00193237,0.964974452,0.989284561,ENSG00000002746,HECW1
0.060696149,1.560456054,1.108947559,0.293391281,0.601240213,ENSG00000002822,MAD1L1
0.060282561,6.270945065,4.997315902,0.026322151,0.203020291,ENSG00000002834,LASP1
-0.02776514,4.466351687,1.681870859,0.195941886,0.496031002,ENSG00000002919,SNX11
-0.018192146,2.79600045,0.128588313,0.720220935,0.8795705,ENSG00000002933,TMEM176A
-0.08453798,5.535305341,9.696101554,0.002074649,0.074623452,ENSG00000003056,M6PR
