"geneSet","NES","FDR","Function","Datatype"
"GO:0002181",-2.76115676532706,0,"GO","FP_CTCDT"
"GO:0010257",-2.21287376372785,0.00044218552328986,"GO","FP_CTCDT"
"GO:0050727",-2.18185538245763,0.00117916139543963,"GO","FP_CTCDT"
"GO:0050900",-2.11361693424402,0.00162134691872949,"GO","FP_CTCDT"
"GO:0006882",-2.15297133159157,0.00176874209315944,"GO","FP_CTCDT"
"GO:0006959",-2.11431382992054,0.00194561630247539,"GO","FP_CTCDT"
"GO:0022900",-2.08979529697192,0.00202141953503936,"GO","FP_CTCDT"
"GO:0022613",-2.05415847563009,0.0028496400389791,"GO","FP_CTCDT"
"GO:0070555",-2.05964669039744,0.00287420590138409,"GO","FP_CTCDT"
"GO:0045730",-2.03735813472135,0.00300686155837105,"GO","FP_CTCDT"
"GO:0044703",-2.01115059721335,0.00426106049715684,"GO","FP_CTCDT"
"GO:0090594",-2.0068585466851,0.00434815764568363,"GO","FP_CTCDT"
"GO:0002237",-2.00096697378228,0.00435382669085401,"GO","FP_CTCDT"
"GO:0009620",-1.99388968976496,0.00435868587242862,"GO","FP_CTCDT"
"GO:0044706",-1.96751305587332,0.00548310048879427,"GO","FP_CTCDT"
"GO:0042742",-1.94930938999401,0.0067986024205816,"GO","FP_CTCDT"
"GO:0032609",-1.94247120405401,0.00733507750398474,"GO","FP_CTCDT"
"GO:0042330",-1.91388364853762,0.00992460841161686,"GO","FP_CTCDT"
"GO:0002544",-1.8840354663675,0.0133586573878095,"GO","FP_CTCDT"
"GO:0001819",-1.86982378687233,0.0149900892395263,"GO","FP_CTCDT"
"GO:0032602",-1.86612164999412,0.0152027594197752,"GO","FP_CTCDT"
"GO:0002526",-1.85530447135885,0.0159990762063059,"GO","FP_CTCDT"
"GO:0140053",-1.84320169750306,0.0178796755069378,"GO","FP_CTCDT"
"GO:0002274",-1.83011973682189,0.0187486661874901,"GO","FP_CTCDT"
"GO:0006690",-1.83258832291941,0.018940279914249,"GO","FP_CTCDT"
"GO:1990868",-1.809007619146,0.0210985663969733,"GO","FP_CTCDT"
"GO:0002263",-1.8114083342759,0.0213886775339466,"GO","FP_CTCDT"
"GO:0006749",-1.81146149499854,0.0222113189775599,"GO","FP_CTCDT"
"GO:0016072",-1.7758261246692,0.0262547654453355,"GO","FP_CTCDT"
"GO:0010573",-1.78441744493163,0.026653113610713,"GO","FP_CTCDT"
"GO:0051438",-1.78108553679796,0.0267374846415936,"GO","FP_CTCDT"
"GO:0009636",-1.76993507771976,0.0269599173593697,"GO","FP_CTCDT"
"GO:0035966",-1.77593995951009,0.0270731652646502,"GO","FP_CTCDT"
"GO:0002697",-1.7557310189641,0.0300946264968452,"GO","FP_CTCDT"
"GO:0001659",-1.7414593181842,0.0321567138881348,"GO","FP_CTCDT"
"GO:0015980",-1.74332900585331,0.0324437835373818,"GO","FP_CTCDT"
"GO:0007159",-1.72925157446984,0.035350939943011,"GO","FP_CTCDT"
"GO:0072593",-1.7140511445018,0.0390519635831782,"GO","FP_CTCDT"
"GO:0001655",1.9492621305935,0.0392896202911483,"GO","FP_CTCDT"
"GO:0007005",-1.67650952395874,0.0460641962522828,"GO","FP_CTCDT"
"GO:0002443",-1.67380307222043,0.0462695405008411,"GO","FP_CTCDT"
"GO:0001890",-1.67731553449036,0.0465965278097893,"GO","FP_CTCDT"
"GO:0006879",-1.69242018116295,0.0466222274812283,"GO","FP_CTCDT"
"GO:1901293",-1.67816211581154,0.0472937516500473,"GO","FP_CTCDT"
"GO:0034470",-1.66931208139183,0.04738754857923,"GO","FP_CTCDT"
"GO:0009141",-1.68522707051888,0.0477128964642523,"GO","FP_CTCDT"
"GO:0140467",-1.68021449483835,0.0477149029782547,"GO","FP_CTCDT"
"GO:0019221",-1.66371771935401,0.0478621610408945,"GO","FP_CTCDT"
"GO:0072522",-1.65666485906989,0.0479729577154094,"GO","FP_CTCDT"
"GO:0002250",-1.65856842250925,0.048113186361039,"GO","FP_CTCDT"
"GO:0050886",-1.68152354752685,0.0483456172130247,"GO","FP_CTCDT"
"GO:0097193",-1.66001854659612,0.0484149796480506,"GO","FP_CTCDT"
"GO:0090130",-1.66436988053291,0.0486584559505903,"GO","FP_CTCDT"
"GO:2001233",-1.68527042350589,0.0488836095996941,"GO","FP_CTCDT"
"GO:0001906",-1.64491480570022,0.0526037000298901,"GO","FP_CTCDT"
"GO:0120254",-1.63642500363818,0.0559244090909867,"GO","FP_CTCDT"
"GO:0071826",-1.62532943401902,0.060295154568596,"GO","FP_CTCDT"
"GO:0034612",-1.61834139824663,0.0618907254839153,"GO","FP_CTCDT"
"GO:0070482",-1.6185145616948,0.0628679207147549,"GO","FP_CTCDT"
"GO:0140115",1.96758214659034,0.0671725766268019,"GO","FP_CTCDT"
"GO:0007492",-1.60746151064526,0.0674070609571018,"GO","FP_CTCDT"
"GO:0032635",-1.60203035734457,0.069732657022811,"GO","FP_CTCDT"
"GO:0017004",-1.59584546713107,0.0710634928074221,"GO","FP_CTCDT"
"GO:0019932",-1.59672136821548,0.0715470674569003,"GO","FP_CTCDT"
"GO:1901342",-1.59068711008583,0.072757065625757,"GO","FP_CTCDT"
"GO:0042445",-1.58677060415744,0.0730218370306671,"GO","FP_CTCDT"
"GO:0018198",-1.58736058877214,0.0738588006870095,"GO","FP_CTCDT"
"GO:0007588",-1.58192956420726,0.0748231503651691,"GO","FP_CTCDT"
"GO:0034113",-1.57804685994203,0.0762011052523094,"GO","FP_CTCDT"
"GO:0001562",-1.57350549396729,0.0777206084464766,"GO","FP_CTCDT"
"GO:0050867",-1.56847987196562,0.0799522693994826,"GO","FP_CTCDT"
"GO:0032623",-1.56649423107155,0.0799724103549948,"GO","FP_CTCDT"
"GO:0006839",-1.56287145960785,0.0813496803551008,"GO","FP_CTCDT"
"GO:0050817",-1.54956971908844,0.0843876161815281,"GO","FP_CTCDT"
"GO:0048010",-1.55127319037243,0.0845222888251125,"GO","FP_CTCDT"
"GO:0043434",-1.55205674646898,0.0851147377532537,"GO","FP_CTCDT"
"GO:0003158",-1.5523205298615,0.0861716610181035,"GO","FP_CTCDT"
"GO:0006457",-1.55307039077163,0.0868526065328501,"GO","FP_CTCDT"
"GO:0150076",-1.5286334315852,0.088323987431084,"GO","FP_CTCDT"
"GO:1990849",-1.53007878496562,0.088530743945257,"GO","FP_CTCDT"
"GO:0042060",-1.53168909575296,0.088595028059147,"GO","FP_CTCDT"
"GO:0048545",-1.5405315878986,0.0886411902841058,"GO","FP_CTCDT"
"GO:0006979",-1.52679179469332,0.0886709039001713,"GO","FP_CTCDT"
"GO:0031349",-1.54096505174689,0.0894018730724227,"GO","FP_CTCDT"
"GO:0052547",-1.53196026491229,0.0895132670158582,"GO","FP_CTCDT"
"GO:0009266",-1.53448924257834,0.0899438108854783,"GO","FP_CTCDT"
"GO:0002440",-1.5354119604429,0.0903053384938717,"GO","FP_CTCDT"
"GO:0035924",-1.53201801343769,0.090561752172316,"GO","FP_CTCDT"
"GO:1902600",-1.53554765399973,0.0913476929125383,"GO","FP_CTCDT"
"GO:0097696",-1.51925511303083,0.0915029242861151,"GO","FP_CTCDT"
"GO:0006720",-1.51960469855216,0.0922130709242675,"GO","FP_CTCDT"
"GO:0055062",1.80723812974897,0.0922672373288902,"GO","FP_CTCDT"
"GO:0008217",-1.52081527535027,0.0923062279867583,"GO","FP_CTCDT"
"GO:0070371",-1.5143722780195,0.0940931920108226,"GO","FP_CTCDT"
"GO:0045862",-1.50309601940477,0.101529641238859,"GO","FP_CTCDT"
"GO:0006909",-1.50057674556953,0.102244704223926,"GO","FP_CTCDT"
"GO:0140962",-1.49867954755026,0.102577633200624,"GO","FP_CTCDT"
"GO:0046685",-1.49727022698008,0.102587041403248,"GO","FP_CTCDT"
"GO:0019693",-1.49393265421041,0.103243481767719,"GO","FP_CTCDT"
"GO:0038034",-1.49484251776213,0.10353589783864,"GO","FP_CTCDT"
"GO:0071216",-1.48722645562128,0.104312002751527,"GO","FP_CTCDT"
"GO:1903034",-1.48608186284567,0.104338442887651,"GO","FP_CTCDT"
"GO:0043586",1.76195318949413,0.10501373165376,"GO","FP_CTCDT"
"GO:0009612",-1.487315462633,0.105257841963918,"GO","FP_CTCDT"
"GO:0008277",-1.49016895345091,0.105348444875221,"GO","FP_CTCDT"
"GO:0045116",-1.4875036005577,0.106213855998312,"GO","FP_CTCDT"
"GO:0016053",-1.48276771739934,0.106356351009544,"GO","FP_CTCDT"
"GO:0035902",-1.48145879450097,0.106464668299789,"GO","FP_CTCDT"
"GO:0021510",1.81395468583696,0.106779048694492,"GO","FP_CTCDT"
"GO:0034976",-1.47951788461094,0.107135235357086,"GO","FP_CTCDT"
"GO:0001963",-0.519339513128656,0.0511073253833049,"GO","FP_CTCDT"
"GO:0009262",-1.47594701869517,0.108124691881831,"GO","FP_CTCDT"
"GO:0019692",-1.47594701869517,0.108124691881831,"GO","FP_CTCDT"
"GO:0048008",-1.47194261225413,0.10835153267959,"GO","FP_CTCDT"
"GO:0009410",-1.4696296167308,0.108367037886251,"GO","FP_CTCDT"
"GO:0043086",-1.47298187882424,0.10851800686242,"GO","FP_CTCDT"
"GO:0060004",1.77101601983354,0.108785776612588,"GO","FP_CTCDT"
"GO:0031667",-1.46560742171302,0.108892991474512,"GO","FP_CTCDT"
"GO:0050878",-1.4737852376645,0.108933222524537,"GO","FP_CTCDT"
"GO:0002040",-1.47000306354949,0.109000723317632,"GO","FP_CTCDT"
"GO:0032634",-1.46422306067753,0.109120713704272,"GO","FP_CTCDT"
"GO:0043409",-1.4661901176188,0.109274127737912,"GO","FP_CTCDT"
"GO:0098743",1.62874994074123,0.109419480165671,"GO","FP_CTCDT"
"GO:0031348",-1.45142129327316,0.109905734080061,"GO","FP_CTCDT"
"GO:2001057",-1.45031486485533,0.10997983062075,"GO","FP_CTCDT"
"GO:0007187",0.448860303111025,0.0115207373271889,"GO","FP_CTCDT"
"GO:0006090",-1.45204646229925,0.110195439930965,"GO","FP_CTCDT"
"GO:0034341",-1.44874623163642,0.110457258158856,"GO","FP_CTCDT"
"GO:1903317",-1.45212287354095,0.111006253766687,"GO","FP_CTCDT"
"GO:0098742",1.59334387861466,0.111260238105579,"GO","FP_CTCDT"
"GO:1903131",-1.45259760080695,0.111530600213013,"GO","FP_CTCDT"
"GO:0034067",1.5791090711706,0.111777129943808,"GO","FP_CTCDT"
"GO:0006399",-1.44573011567613,0.112070220164264,"GO","FP_CTCDT"
"GO:0032102",-1.45284772558603,0.112228842813519,"GO","FP_CTCDT"
"GO:0046530",1.69228172885201,0.112587997931086,"GO","FP_CTCDT"
"GO:0007622",-1.45303284761487,0.113003772501076,"GO","FP_CTCDT"
"GO:0031128",1.83410603878544,0.113221701484169,"GO","FP_CTCDT"
"GO:0031400",-1.45618329234862,0.11323665240954,"GO","FP_CTCDT"
"GO:0034394",1.58203289226504,0.113348442194786,"GO","FP_CTCDT"
"GO:0045165",1.61870079525692,0.113375326587947,"GO","FP_CTCDT"
"GO:0051703",1.59576835015523,0.113409465499898,"GO","FP_CTCDT"
"GO:0048736",1.63043501936732,0.113432936001864,"GO","FP_CTCDT"
"GO:0060191",-1.4567641040285,0.113626690145722,"GO","FP_CTCDT"
"GO:0051047",-1.45755111596842,0.113925131744013,"GO","FP_CTCDT"
"GO:0010038",-1.45305785995833,0.113930379124667,"GO","FP_CTCDT"
"GO:0015669",-1.45337670508889,0.114614487636732,"GO","FP_CTCDT"
"GO:0022407",-1.44034404005991,0.115872859874002,"GO","FP_CTCDT"
"GO:2000027",1.53529827210205,0.11610685587219,"GO","FP_CTCDT"
"GO:0002065",1.59774169826866,0.116162735922837,"GO","FP_CTCDT"
"GO:0006813",1.56897800405589,0.116482634351076,"GO","FP_CTCDT"
"GO:0098739",1.64085750178262,0.116671865273177,"GO","FP_CTCDT"
"GO:0007215",1.50520468625458,0.116700858246194,"GO","FP_CTCDT"
"GO:0141060",-1.43330396153536,0.116930636041935,"GO","FP_CTCDT"
"GO:0060560",1.54111892159471,0.117316401365629,"GO","FP_CTCDT"
"GO:0001667",-1.43358532921016,0.117465283716295,"GO","FP_CTCDT"
"GO:0042303",1.50678817066391,0.117792816447075,"GO","FP_CTCDT"
"GO:0030100",-1.43387944406475,0.118020953890224,"GO","FP_CTCDT"
"GO:0097485",1.60030832589834,0.118173038578925,"GO","FP_CTCDT"
"GO:0070542",-1.43451900087524,0.118320926291651,"GO","FP_CTCDT"
"GO:0001578",1.53595038053395,0.118470879248874,"GO","FP_CTCDT"
"GO:0055075",1.56283581809783,0.118675392668278,"GO","FP_CTCDT"
"GO:0030323",1.54644581602496,0.118827979764598,"GO","FP_CTCDT"
"GO:0006631",-1.43479771579615,0.11894458106179,"GO","FP_CTCDT"
"GO:0030902",1.63079754257139,0.119002856705278,"GO","FP_CTCDT"
"GO:0009582",1.50801362693872,0.119187998881903,"GO","FP_CTCDT"
"GO:0045785",-1.43528649404267,0.119396791068918,"GO","FP_CTCDT"
"GO:0042908",1.54205817174081,0.119636560258361,"GO","FP_CTCDT"
"GO:0019226",1.48832229997561,0.119747339262941,"GO","FP_CTCDT"
"GO:0060541",1.69454717198828,0.120058018602277,"GO","FP_CTCDT"
"GO:0050953",1.54757477781732,0.120931761380013,"GO","FP_CTCDT"
"GO:0050808",1.50866780087009,0.120984570009436,"GO","FP_CTCDT"
"GO:0009566",1.48908833873643,0.121302381942877,"GO","FP_CTCDT"
"GO:0030900",1.5535229348878,0.121894742269502,"GO","FP_CTCDT"
"GO:0015697",1.64862217544897,0.12206714691262,"GO","FP_CTCDT"
"GO:0090596",1.60123409258825,0.122146359856755,"GO","FP_CTCDT"
"GO:0007409",1.51062651763211,0.122291302690705,"GO","FP_CTCDT"
"GO:0048880",1.48242223734618,0.122538255475109,"GO","FP_CTCDT"
"GO:0034329",1.49525747610354,0.122840996443789,"GO","FP_CTCDT"
"GO:0043583",1.49256543462939,0.122866749273232,"GO","FP_CTCDT"
"GO:0035270",1.66480943498262,0.122938489298109,"GO","FP_CTCDT"
"GO:1990806",1.47904277771819,0.123113304071373,"GO","FP_CTCDT"
"GO:0007548",1.54871533283417,0.123300605614157,"GO","FP_CTCDT"
"GO:0006814",1.64111463665913,0.12331125609404,"GO","FP_CTCDT"
"GO:0050951",1.48941413823259,0.123360958333498,"GO","FP_CTCDT"
"GO:0043331",1.60473070064822,0.123709954493167,"GO","FP_CTCDT"
"GO:0035590",1.51229879263334,0.123709954493167,"GO","FP_CTCDT"
"GO:0061458",1.52294878337258,0.124598189079993,"GO","FP_CTCDT"
"GO:0035264",1.47466369545853,0.124699970360916,"GO","FP_CTCDT"
"GO:0046717",1.51384912264764,0.124881846860897,"GO","FP_CTCDT"
"GO:0001570",-1.4215839735465,0.126057867236576,"GO","FP_CTCDT"
"GO:0035272",1.51569211505075,0.126164616477441,"GO","FP_CTCDT"
"GO:0043410",-1.42172268385235,0.126843160325742,"GO","FP_CTCDT"
"GO:0001764",1.65102007130204,0.126994192037841,"GO","FP_CTCDT"
"GO:0097191",-1.4179712528264,0.127663037461586,"GO","FP_CTCDT"
"GO:0006898",-1.41806775867741,0.128473845323845,"GO","FP_CTCDT"
"GO:0021953",1.66873404251155,0.128788060557337,"GO","FP_CTCDT"
"GO:0030522",1.51584353202189,0.129010253574161,"GO","FP_CTCDT"
"GO:0010563",-1.41329317623918,0.129437529011904,"GO","FP_CTCDT"
"GO:0031163",-1.41068444186278,0.130135805237799,"GO","FP_CTCDT"
"GO:0043094",-1.41343465308777,0.130175707408787,"GO","FP_CTCDT"
"GO:0060216",1.45714499521607,0.130364702810801,"GO","FP_CTCDT"
"GO:0006413",-1.40840867327632,0.130468631290687,"GO","FP_CTCDT"
"GO:0046683",-1.40915461303927,0.13062822132235,"GO","FP_CTCDT"
"GO:0051347",-1.4111838029117,0.130630752245824,"GO","FP_CTCDT"
"GO:0051249",-1.4138274417097,0.130700075940296,"GO","FP_CTCDT"
"GO:0048705",1.46564321062913,0.130902030615186,"GO","FP_CTCDT"
"GO:0007530",1.69535321655274,0.131556857620038,"GO","FP_CTCDT"
"GO:0045664",1.45789169759533,0.131790221468158,"GO","FP_CTCDT"
"GO:0006820",1.4596985568871,0.132403158494156,"GO","FP_CTCDT"
"GO:0014075",-1.40541210838924,0.132459789573957,"GO","FP_CTCDT"
"GO:0033002",-1.40001764613907,0.133631910739676,"GO","FP_CTCDT"
"GO:0060037",1.46075367312993,0.133804946946058,"GO","FP_CTCDT"
"GO:0009743",-1.40049603153111,0.134014004672881,"GO","FP_CTCDT"
"GO:0030534",1.45128627729603,0.134286657541012,"GO","FP_CTCDT"
"GO:0055094",-1.40289599464193,0.134365441010346,"GO","FP_CTCDT"
"GO:0043549",-1.40079940724852,0.134569854844358,"GO","FP_CTCDT"
"GO:0051341",-1.40148939261839,0.134723093936909,"GO","FP_CTCDT"
"GO:0046631",-1.3976642875505,0.135177540874624,"GO","FP_CTCDT"
"GO:0051131",-1.39545369554925,0.135843899103927,"GO","FP_CTCDT"
"GO:0006414",-1.39590163871758,0.136142119766744,"GO","FP_CTCDT"
"GO:0071241",-1.39312992695799,0.136398938209273,"GO","FP_CTCDT"
"GO:0071496",-1.39363187545594,0.136736077828456,"GO","FP_CTCDT"
"GO:0014823",-1.38704487762372,0.139692411795855,"GO","FP_CTCDT"
"GO:0032637",-1.38589627661561,0.139953074518551,"GO","FP_CTCDT"
"GO:0051051",-1.38737079469545,0.140208515304021,"GO","FP_CTCDT"
"GO:0009581",1.44305554785269,0.140336532300934,"GO","FP_CTCDT"
"GO:0035150",-1.38432162528138,0.140582641367886,"GO","FP_CTCDT"
"GO:1990845",-1.38769146402505,0.140747652063163,"GO","FP_CTCDT"
"GO:1904019",-1.381058307035,0.141218698797254,"GO","FP_CTCDT"
