logFC,logCPM,F,PValue,adj_pval,target_id,HGNC_symbol
0.092008551,3.709423201,4.390034897,0.037390256,0.427539106,ENSG00000000003,TSPAN6
-0.02555026,4.167995511,0.608596311,0.436225793,0.818374899,ENSG00000000419,DPM1
-0.000438657,4.020604547,0.000276409,0.986751676,0.996943893,ENSG00000000457,SCYL3
0.055214691,2.777040342,2.443113748,0.119600519,0.590317913,ENSG00000000460,FIRRM
0.10788315,2.988432853,2.103489184,0.148508031,0.615394797,ENSG00000000938,FGR
-0.119029403,5.229417614,2.306206115,0.13041449,0.598399014,ENSG00000000971,CFH
-0.007098019,3.867567684,0.046359484,0.829739921,0.961208195,ENSG00000001036,FUCA2
-0.013716068,5.757442364,0.280988969,0.596633193,0.889616428,ENSG00000001084,GCLC
0.004351482,5.222801668,0.046116663,0.830179502,0.96134381,ENSG00000001167,NFYA
-0.053090325,4.230653921,3.345353015,0.068862673,0.494500973,ENSG00000001460,STPG1
-0.027346093,7.667680305,1.630267059,0.20312503,0.663774992,ENSG00000001461,NIPAL3
-0.026567923,5.19589273,0.816664799,0.367228529,0.780234208,ENSG00000001497,LAS1L
-0.023103497,6.840051754,0.646129014,0.422440535,0.811733548,ENSG00000001561,ENPP4
0.017112845,3.028369585,0.041748014,0.838305725,0.962661102,ENSG00000001617,SEMA3F
0.063854288,2.165310237,1.145019822,0.285864718,0.727144888,ENSG00000001626,CFTR
-0.010293493,7.602400233,0.351925207,0.553685834,0.872549552,ENSG00000001629,ANKIB1
0.042420317,3.505730028,1.11268213,0.292754164,0.731767773,ENSG00000001630,CYP51A1
0.021158843,3.523630961,0.626996849,0.429383827,0.814933086,ENSG00000001631,KRIT1
0.053868061,4.203623918,0.836662488,0.361438753,0.776457865,ENSG00000002016,RAD52
0.060828217,4.373839568,5.31612918,0.022139288,0.365274188,ENSG00000002330,BAD
-0.063169264,5.880159134,1.327204087,0.250658456,0.703654557,ENSG00000002549,LAP3
-0.011041746,2.968526221,0.057162019,0.811280465,0.957272758,ENSG00000002587,HS3ST1
0.119981291,1.30543491,3.471055198,0.063900151,0.48765228,ENSG00000002745,WNT16
-0.047957912,7.426642548,2.481869041,0.116722801,0.587056128,ENSG00000002746,HECW1
0.139734194,1.446795321,4.972326626,0.026847065,0.389590445,ENSG00000002822,MAD1L1
0.036487528,6.791438975,4.160934677,0.042662178,0.445042088,ENSG00000002834,LASP1
-0.008338049,4.379826402,0.152659136,0.696416887,0.926195872,ENSG00000002919,SNX11
-0.070877635,3.549122034,1.691549169,0.194872244,0.655741901,ENSG00000002933,TMEM176A
-0.019404556,5.592612168,0.672212709,0.413243057,0.805307587,ENSG00000003056,M6PR
0.15480924,3.610046419,5.880950745,0.016180947,0.346676793,ENSG00000003096,KLHL13
-0.045271354,4.651687348,0.702373218,0.402973382,0.800755242,ENSG00000003137,CYP26B1
-0.116143415,5.73351033,15.1623915,0.000133837,0.053461006,ENSG00000003147,ICA1
0.033606812,5.230004337,0.996932175,0.319242955,0.749407729,ENSG00000003249,DBNDD1
0.001880808,6.648774757,0.008366989,0.927208369,0.984237666,ENSG00000003393,ALS2
0.091172639,2.6941007,3.164205526,0.076766807,0.512373024,ENSG00000003400,CASP10
0.065913528,6.244643546,6.851019603,0.009526325,0.292388802,ENSG00000003402,CFLAR
-0.012512961,2.501299038,0.033750001,0.85442295,0.966919105,ENSG00000003436,TFPI
-0.06381744,4.412089585,8.940281832,0.003134461,0.1976628,ENSG00000003509,NDUFAF7
0.009329804,6.614710503,0.105830206,0.745277384,0.93825171,ENSG00000003756,RBM5
-0.04083361,5.809386184,2.314340578,0.129742119,0.598356557,ENSG00000003987,MTMR7
0.109154556,6.579618869,1.505810101,0.221201067,0.681263778,ENSG00000003989,SLC7A2
