logFC,logCPM,F,PValue,adj_pval,target_id,HGNC_symbol
0.148064056,3.709939196,9.230454726,0.002689295,0.021609742,ENSG00000000003,TSPAN6
-0.097776212,4.167079727,5.836540967,0.016571647,0.060348437,ENSG00000000419,DPM1
-0.006061346,4.020690331,0.053466554,0.817367614,0.876951455,ENSG00000000457,SCYL3
0.130350922,2.778548825,9.021560345,0.002999923,0.022786119,ENSG00000000460,FIRRM
0.254428409,2.990409901,7.938029923,0.005313593,0.030670461,ENSG00000000938,FGR
0.004857734,5.229871146,0.003065437,0.955900392,0.972754897,ENSG00000000971,CFH
0.016517064,3.867683561,0.152087066,0.696953001,0.788213847,ENSG00000001036,FUCA2
0.010918468,5.75747589,0.099681974,0.752532184,0.829473969,ENSG00000001084,GCLC
0.044402367,5.223048753,3.406849765,0.066365591,0.149860652,ENSG00000001167,NFYA
-0.102939893,4.230247663,9.565611295,0.002258167,0.019715761,ENSG00000001460,STPG1
-0.048957717,7.66766116,2.266338285,0.13374819,0.241677669,ENSG00000001461,NIPAL3
0.044412748,5.196089273,1.4880675,0.223915409,0.350718398,ENSG00000001497,LAS1L
-0.055402766,6.839955373,2.161908125,0.142999096,0.253661713,ENSG00000001561,ENPP4
0.116838034,3.028965137,1.802361037,0.180910196,0.299963595,ENSG00000001617,SEMA3F
0.173391939,2.166425188,5.782303108,0.017075689,0.06151316,ENSG00000001626,CFTR
0.019431935,7.602436094,0.645960488,0.422489773,0.554275909,ENSG00000001629,ANKIB1
-0.034620992,3.504105134,0.514809968,0.473879499,0.601269242,ENSG00000001630,CYP51A1
0.042603913,3.524272391,2.548052184,0.111968301,0.213192028,ENSG00000001631,KRIT1
0.197469911,4.205097733,7.194851993,0.007906507,0.03844102,ENSG00000002016,RAD52
0.034193629,4.373704931,1.592742423,0.208366084,0.332925136,ENSG00000002330,BAD
-0.030725776,5.880028888,0.189832755,0.663513383,0.761087405,ENSG00000002549,LAP3
-0.056581652,2.968069431,1.469565903,0.226807669,0.354115779,ENSG00000002587,HS3ST1
-0.029038896,1.304370261,0.147154246,0.701668535,0.791632726,ENSG00000002745,WNT16
-0.137574499,7.426594648,9.030991572,0.002984895,0.022744843,ENSG00000002746,HECW1
0.235176942,1.449284491,12.19057052,0.000587446,0.011103233,ENSG00000002822,MAD1L1
0.02639027,6.791455222,1.674715052,0.197081329,0.319365592,ENSG00000002834,LASP1
-0.026075763,4.379960532,1.366177207,0.243824655,0.373048527,ENSG00000002919,SNX11
0.053701213,3.549444698,0.616508812,0.433252704,0.564602885,ENSG00000002933,TMEM176A
-0.068048349,5.59234384,5.351801972,0.021690422,0.071079213,ENSG00000003056,M6PR
0.094405755,3.60947732,2.290127485,0.131736808,0.239406945,ENSG00000003096,KLHL13
-0.151497226,4.651000993,4.98210028,0.026691021,0.081419415,ENSG00000003137,CYP26B1
-0.178775282,5.733313446,24.00181997,1.94840996303581e-06,0.001408329,ENSG00000003147,ICA1
-0.000110988,5.230184843,7.61018117410062e-06,0.997801592,0.998854472,ENSG00000003249,DBNDD1
-0.037878431,6.648755673,2.490408558,0.116080804,0.218479954,ENSG00000003393,ALS2
0.174139677,2.695727377,7.830824559,0.005625548,0.031897722,ENSG00000003400,CASP10
0.195338365,6.245033111,16.30362068,7.61726998427023e-05,0.005352895,ENSG00000003402,CFLAR
0.066480386,2.503665939,0.748414575,0.387987159,0.523199059,ENSG00000003436,TFPI
-0.080047293,4.411870362,13.10119625,0.000371656,0.009529334,ENSG00000003509,NDUFAF7
0.078719801,6.61480666,5.135765239,0.02447998,0.077171674,ENSG00000003756,RBM5
-0.131213506,5.809078268,10.88286996,0.001143991,0.014323687,ENSG00000003987,MTMR7
0.262821262,6.579726132,7.469571344,0.006822283,0.035375402,ENSG00000003989,SLC7A2
-0.13283464,5.912484831,6.72999386,0.010163394,0.04469008,ENSG00000004059,ARF5
0.148750366,4.237219238,12.56129184,0.000487569,0.010541645,ENSG00000004139,SARM1
-0.073009385,5.982504494,7.75304858,0.005863245,0.032623972,ENSG00000004142,POLDIP2
0.075887607,6.405434335,3.21500408,0.07443732,0.161773555,ENSG00000004399,PLXND1
0.054239005,5.223286302,2.281976168,0.132421956,0.239975271,ENSG00000004455,AK2
0.037760579,3.825697757,0.135770308,0.712902205,0.800084478,ENSG00000004468,CD38
-0.040119995,6.935617555,0.431617877,0.511931588,0.633714693,ENSG00000004478,FKBP4
-0.077390494,6.489070992,16.55896658,6.72441086091209e-05,0.005117553,ENSG00000004487,KDM1A
0.096504271,6.439857866,4.577131895,0.03358136,0.094217962,ENSG00000004534,RBM6
-0.084496473,7.286254256,3.450979503,0.064645543,0.147247104,ENSG00000004660,CAMKK1
-0.023294742,4.089037315,0.375481255,0.540709527,0.659072505,ENSG00000004700,RECQL
-0.078988163,6.377732773,6.194631715,0.013608342,0.053278574,ENSG00000004766,VPS50
0.187315503,0.795089468,4.276137953,0.039913898,0.106011034,ENSG00000004776,HSPB6
0.132291079,5.300909068,5.735694137,0.01752175,0.062397219,ENSG00000004777,ARHGAP33
-0.168527285,5.435087669,8.477983143,0.00399178,0.026501539,ENSG00000004779,NDUFAB1
-0.043710022,6.876918996,0.158826276,0.690653412,0.783339172,ENSG00000004799,PDK4
0.359073051,1.034369585,16.53158337,6.82500567362519e-05,0.005117553,ENSG00000004838,ZMYND10
0.116634031,3.142199133,7.095331454,0.008341974,0.039805979,ENSG00000004848,ARX
0.062208086,4.177438855,1.413993048,0.23576773,0.364209076,ENSG00000004864,SLC25A13
-0.034225553,4.716925124,2.090396234,0.149751831,0.261604677,ENSG00000004866,ST7
-0.090211357,6.884028825,7.989231154,0.005170619,0.030227041,ENSG00000004897,CDC27
-0.12791851,3.980190462,8.157362007,0.004729374,0.028694984,ENSG00000004961,HCCS
