logFC,logCPM,F,PValue,adj_pval,target_id,HGNC_symbol
0.085075965,3.709404443,3.577713276,0.059989251,0.419365424,ENSG00000000003,TSPAN6
-0.043258341,4.168028008,1.459248299,0.228460617,0.621816508,ENSG00000000419,DPM1
0.002004464,4.020601226,0.005974728,0.938464207,0.982798225,ENSG00000000457,SCYL3
0.053321774,2.776986643,2.358821726,0.126140132,0.524871952,ENSG00000000460,FIRRM
0.059398402,2.988363971,0.796862368,0.373094649,0.730077849,ENSG00000000938,FGR
-0.166521878,5.229400369,5.605203885,0.018850728,0.30611407,ENSG00000000971,CFH
-0.030587892,3.867563789,0.720130179,0.397104698,0.746273642,ENSG00000001036,FUCA2
-0.014404552,5.757441183,0.254794462,0.61426876,0.867620653,ENSG00000001084,GCLC
0.006396343,5.222792717,0.095288083,0.757876869,0.927876512,ENSG00000001167,NFYA
-0.05109472,4.230669224,2.86925177,0.091826459,0.482690751,ENSG00000001460,STPG1
-0.021850509,7.667681055,1.00012341,0.318475676,0.693398586,ENSG00000001461,NIPAL3
-0.015715614,5.195885397,0.28092212,0.596678891,0.858964013,ENSG00000001497,LAS1L
-0.037595492,6.840055356,1.228293685,0.269055391,0.656695896,ENSG00000001561,ENPP4
-0.019084708,3.028346403,0.057899944,0.810090374,0.945364941,ENSG00000001617,SEMA3F
0.101103706,2.165267444,3.393656788,0.066912317,0.436743727,ENSG00000001626,CFTR
-0.011864797,7.602398884,0.385058129,0.535607196,0.831126709,ENSG00000001629,ANKIB1
0.030654412,3.505788104,0.543378118,0.461890662,0.789264703,ENSG00000001630,CYP51A1
0.019538612,3.523606494,0.55385711,0.457610033,0.785646742,ENSG00000001631,KRIT1
0.069209801,4.203570923,1.322555342,0.251492333,0.642220038,ENSG00000002016,RAD52
0.054544814,4.373844594,4.279678173,0.039842441,0.370085889,ENSG00000002330,BAD
-0.110276941,5.880163765,4.321784312,0.038888897,0.366828718,ENSG00000002549,LAP3
-0.029744916,2.968543022,0.396960435,0.529374794,0.828535995,ENSG00000002587,HS3ST1
0.135657727,1.305470375,4.631989966,0.032569541,0.35069017,ENSG00000002745,WNT16
-0.038865768,7.426644383,1.221704635,0.270339537,0.658709712,ENSG00000002746,HECW1
0.150622845,1.446718831,5.959101337,0.015497611,0.292683136,ENSG00000002822,MAD1L1
0.03525057,6.791438416,3.699635472,0.055828556,0.412906814,ENSG00000002834,LASP1
-0.015584342,4.379823025,0.492267088,0.483724404,0.802804804,ENSG00000002919,SNX11
-0.087226156,3.549109833,3.245187789,0.073123501,0.450041118,ENSG00000002933,TMEM176A
-0.038153948,5.592622176,2.133570313,0.145656569,0.549438904,ENSG00000003056,M6PR
0.168880766,3.610068797,8.560250999,0.003828615,0.177208484,ENSG00000003096,KLHL13
-0.033672755,4.651712504,0.340368102,0.560266904,0.844685274,ENSG00000003137,CYP26B1
-0.117514935,5.733517642,14.2937331,0.000205807,0.068968222,ENSG00000003147,ICA1
0.045793079,5.229998251,1.568804001,0.21182723,0.608387043,ENSG00000003249,DBNDD1
-0.001084047,6.648775492,0.002457886,0.960508342,0.989585022,ENSG00000003393,ALS2
0.063262016,2.694044349,1.929614591,0.16632914,0.569376987,ENSG00000003400,CASP10
0.056068766,6.244628956,4.918238109,0.027687624,0.336485544,ENSG00000003402,CFLAR
-0.055802477,2.501217113,0.822338873,0.365575678,0.725938412,ENSG00000003436,TFPI
-0.066954472,4.412096561,9.754759486,0.002050963,0.144178212,ENSG00000003509,NDUFAF7
0.024350367,6.614706819,0.684334137,0.409073258,0.753525556,ENSG00000003756,RBM5
-0.029628499,5.809397575,1.265232414,0.261996189,0.650360799,ENSG00000003987,MTMR7
