logFC,logCPM,F,PValue,adj_pval,target_id,HGNC_symbol
0.125403884,4.088871004,3.861123988,0.05095255,0.432313446,ENSG00000000003,TSPAN6
0.014215383,4.519009773,0.12298504,0.726228374,0.934703671,ENSG00000000419,DPM1
-0.007472346,4.482405833,0.040434427,0.840860077,0.965878305,ENSG00000000457,SCYL3
0.069378441,3.573928256,2.642212202,0.105804435,0.545999481,ENSG00000000460,FIRRM
0.086127929,2.492976971,0.720133548,0.397226325,0.809545971,ENSG00000000938,FGR
0.023094111,5.600879602,0.059103715,0.808194354,0.956985391,ENSG00000000971,CFH
-0.017122777,4.109951621,0.268173024,0.605194391,0.900900725,ENSG00000001036,FUCA2
0.006173249,6.020526285,0.03479145,0.852242877,0.968004461,ENSG00000001084,GCLC
0.008192406,5.641039864,0.091561447,0.762549938,0.944260524,ENSG00000001167,NFYA
-0.042677937,4.042059556,1.293660145,0.256882878,0.710313898,ENSG00000001460,STPG1
0.003412095,7.383443499,0.014452439,0.904443973,0.979839497,ENSG00000001461,NIPAL3
-0.000513906,5.152565827,0.000177533,0.989383888,0.997265008,ENSG00000001497,LAS1L
-0.006379607,7.05672157,0.018667227,0.891477111,0.977113729,ENSG00000001561,ENPP4
0.119675851,2.188996836,1.096006895,0.296547427,0.742111711,ENSG00000001617,SEMA3F
-0.081916852,3.134760942,1.695222539,0.194574812,0.652750041,ENSG00000001626,CFTR
-0.008937549,7.871300515,0.09612658,0.756886137,0.942696198,ENSG00000001629,ANKIB1
-0.030092249,3.334325507,0.247843283,0.619204305,0.904683317,ENSG00000001630,CYP51A1
0.073845355,4.056141136,4.258805432,0.040479127,0.40540123,ENSG00000001631,KRIT1
0.107475599,4.716054135,4.484165135,0.035580122,0.383479139,ENSG00000002016,RAD52
-0.144592336,4.217341531,11.12714142,0.001032842,0.105335524,ENSG00000002330,BAD
-0.02853707,5.908690552,0.2217748,0.638259732,0.909469173,ENSG00000002549,LAP3
0.041650165,2.851013966,0.542743876,0.462255379,0.843244652,ENSG00000002587,HS3ST1
-0.174869829,1.151028605,4.033006987,0.04612214,0.422816245,ENSG00000002745,WNT16
-0.086129087,7.053801243,2.676337815,0.103592757,0.542788402,ENSG00000002746,HECW1
0.245960653,1.300905974,9.34834529,0.002574242,0.14927501,ENSG00000002822,MAD1L1
-0.000147551,6.239230033,1.20275192291117e-05,0.997236716,0.999278471,ENSG00000002834,LASP1
-0.047119211,4.395853788,1.927101139,0.166787655,0.62448688,ENSG00000002919,SNX11
-0.101651538,3.178994921,1.900464064,0.169734083,0.629309634,ENSG00000002933,TMEM176A
-0.040329334,5.587008044,1.714707871,0.192040603,0.649475543,ENSG00000003056,M6PR
0.083797282,3.883931969,1.589443971,0.209033716,0.666370136,ENSG00000003096,KLHL13
-0.085462521,4.714310407,0.961580754,0.328102019,0.762061445,ENSG00000003137,CYP26B1
-0.064865576,5.914702211,1.70982165,0.192672098,0.649653065,ENSG00000003147,ICA1
-0.066449461,4.439791669,1.144822104,0.286065041,0.733848447,ENSG00000003249,DBNDD1
0.017276138,7.00901831,0.446620131,0.504798336,0.862681147,ENSG00000003393,ALS2
0.203766146,2.920852949,10.17332566,0.001680499,0.129483712,ENSG00000003400,CASP10
0.127351258,6.695546278,12.61869382,0.000487348,0.076262374,ENSG00000003402,CFLAR
0.097926605,2.709913836,1.297827349,0.25612208,0.710034454,ENSG00000003436,TFPI
0.012683277,5.054435622,0.166824944,0.683433453,0.922586238,ENSG00000003509,NDUFAF7
0.032869734,7.201478882,1.611598361,0.205902098,0.663557514,ENSG00000003756,RBM5
-0.031314897,6.185256591,0.812826968,0.368487575,0.790903973,ENSG00000003987,MTMR7
0.060880104,6.79931877,0.434756723,0.510504682,0.865181047,ENSG00000003989,SLC7A2
-0.090547843,5.548192876,4.128630522,0.043629834,0.415548893,ENSG00000004059,ARF5
0.051018382,4.183570625,1.492038951,0.223494114,0.680079103,ENSG00000004139,SARM1
-0.04280076,5.568570038,1.550265368,0.21471084,0.672233571,ENSG00000004142,POLDIP2
-0.00185759,6.018470427,0.000704142,0.978859402,0.995748293,ENSG00000004399,PLXND1
-0.018253831,5.5945212,0.683681043,0.409414121,0.819314033,ENSG00000004455,AK2
-0.166710624,3.80777786,2.47747962,0.117239364,0.561203501,ENSG00000004468,CD38
0.116660477,6.650400212,2.546378376,0.112297285,0.555817195,ENSG00000004478,FKBP4
-0.004623056,6.582116403,0.065482913,0.798322396,0.954644153,ENSG00000004487,KDM1A
0.083835918,6.926032859,5.307566785,0.02237267,0.330856724,ENSG00000004534,RBM6
-0.043358958,6.908279418,0.484224676,0.487410188,0.855766305,ENSG00000004660,CAMKK1
0.013933496,4.489453157,0.119722758,0.729738514,0.935453163,ENSG00000004700,RECQL
-0.024176911,6.885576833,0.361159659,0.548617042,0.88238999,ENSG00000004766,VPS50
-0.034848504,0.730486171,0.09095499,0.763316259,0.944615892,ENSG00000004776,HSPB6
-0.052540602,4.607411103,0.644008276,0.423318871,0.826438219,ENSG00000004777,ARHGAP33
-0.031996582,5.165262889,0.689213243,0.407529208,0.816942136,ENSG00000004779,NDUFAB1
0.04881458,7.12313666,0.233447971,0.629564629,0.907330331,ENSG00000004799,PDK4
0.051818343,1.270211943,0.11807603,0.731535218,0.935919983,ENSG00000004838,ZMYND10
-0.043071669,2.576422389,0.663742878,0.416317119,0.823132847,ENSG00000004848,ARX
-0.01372555,4.681816181,0.12127781,0.728058703,0.93470583,ENSG00000004864,SLC25A13
0.027827329,5.013990476,0.662345746,0.41680575,0.823132847,ENSG00000004866,ST7
-0.000295091,7.222076247,7.10622488550725e-05,0.993283351,0.998139435,ENSG00000004897,CDC27
0.007051445,3.94468662,0.040398967,0.840928965,0.965878305,ENSG00000004961,HCCS
0.049485591,4.413289948,0.874266513,0.35102662,0.777814913,ENSG00000004975,DVL2
-0.016367478,6.473992788,0.089510765,0.765144345,0.945159994,ENSG00000005007,UPF1
-0.036020343,5.667736191,0.70970188,0.400658031,0.812174608,ENSG00000005020,SKAP2
0.000269026,5.386707493,3.76615265098574e-05,0.995110274,0.998794539,ENSG00000005022,SLC25A5
0.051274263,3.027377253,0.55780895,0.45611705,0.840320512,ENSG00000005059,MCUB
-0.07882171,3.210231469,2.289688547,0.131986434,0.581151111,ENSG00000005075,POLR2J
0.020574276,5.200613759,0.805888823,0.37053481,0.791265867,ENSG00000005100,DHX33
0.05415681,5.893705513,1.670807715,0.197803104,0.656225162,ENSG00000005108,THSD7A
0.012260546,5.413863068,0.193280186,0.660726549,0.915172199,ENSG00000005156,LIG3
0.060245009,5.642171477,3.041980927,0.082839745,0.499746173,ENSG00000005175,RPAP3
-0.01937904,2.571352643,0.136071962,0.71265076,0.929997905,ENSG00000005189,REXO5
-0.040160822,5.018946072,1.556621117,0.213777484,0.671032939,ENSG00000005194,CIAPIN1
0.033171751,4.585959826,0.253828829,0.615006506,0.904022723,ENSG00000005206,SPPL2B
-0.065307729,4.429173633,1.872801525,0.172856202,0.632771857,ENSG00000005238,ATOSB
0.125765711,1.877222826,3.693240018,0.056215278,0.447128818,ENSG00000005243,COPZ2
0.041408796,7.150001211,0.644416556,0.423172064,0.826348053,ENSG00000005249,PRKAR2B
0.016493631,5.150246129,0.414684538,0.520419055,0.870966061,ENSG00000005302,MSL3
0.068193299,7.061517108,2.937212328,0.088277208,0.511044904,ENSG00000005339,CREBBP
-0.147881765,7.548136734,5.595763381,0.019065015,0.313869701,ENSG00000005379,TSPOAP1
-0.39250776,0.452352761,8.54157756,0.003919706,0.168527903,ENSG00000005381,MPO
-0.028783919,1.047169749,0.154009724,0.695200918,0.926491605,ENSG00000005421,PON1
0.031354318,5.758691517,0.550656952,0.459014207,0.841943013,ENSG00000005436,GCFC2
-0.08788799,3.396058641,2.051302199,0.153806943,0.611281979,ENSG00000005448,WDR54
-0.012728949,4.388089009,0.088472312,0.76647055,0.945574681,ENSG00000005469,CROT
-0.00755987,1.412290817,0.010303828,0.919260851,0.983713478,ENSG00000005471,ABCB4
0.051803906,7.903243021,4.183702611,0.042266092,0.411782417,ENSG00000005483,KMT2E
-0.089529842,6.621277005,2.587704206,0.109444539,0.553383965,ENSG00000005486,RHBDD2
-0.012517621,5.888916772,0.041230484,0.839322466,0.965117307,ENSG00000005513,SOX8
-0.011241193,7.263445692,0.08031898,0.77719049,0.948528697,ENSG00000005700,IBTK
-0.029478839,5.964626291,0.646124112,0.42255949,0.825840788,ENSG00000005801,ZNF195
-9.01E-05,9.604854253,1.19950720377633e-05,0.997240446,0.999278471,ENSG00000005810,MYCBP2
0.036874555,6.683949368,0.625632758,0.430000173,0.83079494,ENSG00000005812,FBXL3
0.133855802,1.761025877,1.936985579,0.165717421,0.622784038,ENSG00000005844,ITGAL
-0.07110419,4.786266918,1.678113799,0.196830234,0.655050672,ENSG00000005882,PDK2
-0.008854089,5.144772502,0.028479361,0.866175797,0.971021941,ENSG00000005884,ITGA3
0.063187186,6.982952028,4.241055831,0.040893878,0.406851197,ENSG00000005889,ZFX
0.014012545,8.743470326,0.14336264,0.705405823,0.928972897,ENSG00000005893,LAMP2
0.095808702,2.054032509,1.431751829,0.233053603,0.687773965,ENSG00000005961,ITGA2B
0.035736367,2.092491147,0.149810102,0.699174195,0.927608173,ENSG00000005981,ASB4
0.012543887,6.219949088,0.237800917,0.626390891,0.906818057,ENSG00000006007,GDE1
-0.109016012,4.957951237,3.282922148,0.071666906,0.486053466,ENSG00000006015,REX1BD
0.059824272,3.720012038,0.400553627,0.527604957,0.875343277,ENSG00000006016,CRLF1
0.025617624,3.928930514,0.181878727,0.670272098,0.916804636,ENSG00000006025,OSBPL7
-0.029833918,5.274767455,0.25392728,0.614937946,0.904022723,ENSG00000006042,TMEM98
-0.041506552,0.537989189,0.162045009,0.687762222,0.923841208,ENSG00000006047,YBX2
0.070062891,2.981100605,1.078683788,0.300383049,0.743914259,ENSG00000006062,MAP3K14
-0.134000873,5.791606759,4.821293105,0.029385785,0.360587574,ENSG00000006071,ABCC8
-0.110642045,4.72667102,3.089509387,0.080494481,0.495989616,ENSG00000006116,CACNG3
-0.048316798,6.684332918,0.593680094,0.442007203,0.834792502,ENSG00000006118,TMEM132A
-0.006973922,8.478492734,0.068653999,0.793605597,0.953489458,ENSG00000006125,AP2B1
0.041691048,3.15074867,0.10097731,0.751028414,0.941454673,ENSG00000006128,TAC1
0.016906339,5.114498106,0.323573507,0.570175323,0.890400333,ENSG00000006194,ZNF263
-0.078867203,5.920047231,1.768178132,0.185286219,0.64580012,ENSG00000006210,CX3CL1
-0.071354434,5.251605571,1.263137063,0.262551157,0.71513473,ENSG00000006282,SPATA20
-0.027772203,4.826530087,0.124863502,0.724230869,0.933993234,ENSG00000006283,CACNA1G
0.370071471,1.242018775,5.234095309,0.023321494,0.336654968,ENSG00000006327,TNFRSF12A
0.147212184,1.029067637,2.719019233,0.100918744,0.538245123,ENSG00000006377,DLX6
-0.059696053,6.959270083,2.006611036,0.158338864,0.617739003,ENSG00000006432,MAP3K9
0.042689687,5.407870459,1.649633298,0.200655422,0.659635269,ENSG00000006451,RALA
0.167134144,1.440841006,6.051410999,0.014844257,0.284855859,ENSG00000006453,BAIAP2L1
0.084731202,5.856586202,3.880631833,0.05037639,0.430591552,ENSG00000006459,KDM7A
-0.167849075,6.0246483,7.745651648,0.005957528,0.202302707,ENSG00000006468,ETV1
-0.046795393,6.003066291,4.05552804,0.045512477,0.422270195,ENSG00000006530,AGK
-0.220636609,1.89590048,11.64074009,0.000797031,0.099345074,ENSG00000006534,ALDH3B1
0.046144553,5.694476474,1.385491637,0.24071825,0.695502257,ENSG00000006576,PHTF2
0.017541558,5.850158897,0.46840842,0.494598365,0.858407704,ENSG00000006607,FARP2
-0.041527406,3.186494314,0.192026087,0.661760146,0.915363048,ENSG00000006611,USH1C
-0.06234869,3.406291999,1.728630041,0.190255385,0.6492602,ENSG00000006625,GGCT
0.053759148,3.068670111,1.408108391,0.236931684,0.68988798,ENSG00000006634,DBF4
0.227134785,6.314598419,19.25123756,1.94564921709387e-05,0.019060837,ENSG00000006652,IFRD1
-0.007398494,3.821399238,0.056132351,0.812985605,0.957652375,ENSG00000006695,COX10
0.054670213,4.045138476,0.978540262,0.323884343,0.759274823,ENSG00000006704,GTF2IRD1
0.01509039,4.403290752,0.114632698,0.735323985,0.936955745,ENSG00000006712,PAF1
0.002810928,7.567919043,0.008876718,0.925041844,0.984702574,ENSG00000006715,VPS41
-0.029867362,6.078912674,0.752290696,0.386903916,0.802387748,ENSG00000006740,ARHGAP44
-0.048924291,5.674482132,2.741954577,0.099483182,0.535198518,ENSG00000006744,ELAC2
0.147870783,4.788608989,1.118174305,0.291725668,0.738478879,ENSG00000006747,SCIN
-0.017558425,3.725450724,0.102396375,0.74934294,0.941454673,ENSG00000006756,ARSD
-0.011833762,3.836236291,0.055617574,0.813829172,0.958098925,ENSG00000006757,PNPLA4
