logFC,logCPM,F,PValue,adj_pval,target_id,HGNC_symbol
0.375223465,4.091193736,23.76614663,2.35202519812843e-06,0.000150125,ENSG00000000003,TSPAN6
-0.047279031,4.51910521,1.282999083,0.25882476,0.395003119,ENSG00000000419,DPM1
-0.004692228,4.48252884,0.01721207,0.895765412,0.934888357,ENSG00000000457,SCYL3
0.164633812,3.574688646,10.69486351,0.00128388,0.008056229,ENSG00000000460,FIRRM
0.27978417,2.494560064,7.005821849,0.008834063,0.03235323,ENSG00000000938,FGR
0.241303429,5.601777675,5.377155569,0.0215073,0.062111739,ENSG00000000971,CFH
0.086922542,4.111007572,3.709634501,0.055649831,0.126795074,ENSG00000001036,FUCA2
0.087230749,6.020908347,4.542689775,0.034394595,0.088069425,ENSG00000001084,GCLC
0.05566884,5.641323143,3.242981561,0.073377175,0.15540563,ENSG00000001167,NFYA
-0.081774453,4.041506166,5.003755605,0.026500149,0.072622446,ENSG00000001460,STPG1
0.007922323,7.383472329,0.05489784,0.815011873,0.880440198,ENSG00000001461,NIPAL3
0.010400212,5.15234617,0.078697274,0.779387667,0.854198049,ENSG00000001497,LAS1L
0.014360432,7.056929241,0.073370604,0.786796337,0.860121109,ENSG00000001561,ENPP4
0.194427704,2.189392105,3.312127346,0.070408245,0.150630972,ENSG00000001617,SEMA3F
0.041693142,3.135288783,0.296529428,0.586730037,0.703918371,ENSG00000001626,CFTR
0.065918027,7.871459455,3.011964135,0.084336032,0.172618207,ENSG00000001629,ANKIB1
-0.071320163,3.331939407,1.478639433,0.225555235,0.357566884,ENSG00000001630,CYP51A1
0.082162573,4.056468355,5.017706763,0.026293295,0.072249443,ENSG00000001631,KRIT1
0.177638425,4.71597698,12.83963181,0.000435039,0.003781962,ENSG00000002016,RAD52
-0.131892638,4.216241068,8.711961798,0.003575573,0.016531714,ENSG00000002330,BAD
0.092616794,5.908842948,2.134196264,0.145761396,0.260142532,ENSG00000002549,LAP3
-0.021792332,2.850676893,0.151563101,0.697499239,0.79170268,ENSG00000002587,HS3ST1
-0.265686673,1.149817212,9.864813225,0.001967805,0.010790935,ENSG00000002745,WNT16
-0.298511883,7.053602022,15.83884454,9.93423550199523e-05,0.001415885,ENSG00000002746,HECW1
0.25313472,1.301365371,11.16134143,0.001013991,0.006811633,ENSG00000002822,MAD1L1
-0.010809102,6.239067435,0.057895063,0.810123796,0.877121389,ENSG00000002834,LASP1
-0.03790479,4.395331524,1.410946908,0.236439424,0.370487666,ENSG00000002919,SNX11
0.115810537,3.17838267,2.126092501,0.146525127,0.26097878,ENSG00000002933,TMEM176A
-0.055133371,5.586808704,3.574917917,0.060239207,0.134268859,ENSG00000003056,M6PR
0.114931871,3.884245983,3.356074114,0.068584077,0.147483191,ENSG00000003096,KLHL13
-0.281124681,4.713349405,7.599917181,0.006428752,0.025430082,ENSG00000003137,CYP26B1
-0.21118003,5.914664899,13.18156164,0.000366879,0.003397712,ENSG00000003147,ICA1
-0.142324116,4.438952168,4.149514283,0.043087501,0.10441015,ENSG00000003249,DBNDD1
-0.084489289,7.008961238,6.953473021,0.009085175,0.033054619,ENSG00000003393,ALS2
0.384047846,2.923863618,30.03907909,1.38988457931631e-07,3.10250853374152e-05,ENSG00000003400,CASP10
0.283813148,6.695738237,39.02682897,2.85556437818064e-09,4.81606796626711e-06,ENSG00000003402,CFLAR
0.317819316,2.714418453,12.12984599,0.000620858,0.004857732,ENSG00000003436,TFPI
-0.063048507,5.054421099,3.553513741,0.061005109,0.135458827,ENSG00000003509,NDUFAF7
0.052248224,7.20143799,4.155713067,0.042933507,0.104136737,ENSG00000003756,RBM5
-0.134177609,6.185147448,11.03102517,0.001081752,0.007125444,ENSG00000003987,MTMR7
0.368194764,6.799904475,12.90004155,0.000422111,0.003719258,ENSG00000003989,SLC7A2
-0.230797186,5.547408673,17.53087803,4.38833013112311e-05,0.000834718,ENSG00000004059,ARF5
0.066000039,4.183057708,2.378630248,0.124733726,0.231287385,ENSG00000004139,SARM1
-0.09848572,5.568145323,7.103132869,0.008383173,0.031096818,ENSG00000004142,POLDIP2
-0.001010135,6.018255179,0.000229519,0.98792911,0.992177846,ENSG00000004399,PLXND1
0.073936983,5.594683119,5.492556746,0.02017165,0.059315281,ENSG00000004455,AK2
0.187286428,3.808790725,2.398043858,0.123215766,0.229258656,ENSG00000004468,CD38
0.014796632,6.650255928,0.043235661,0.835513476,0.895186487,ENSG00000004478,FKBP4
-0.074271858,6.582058093,11.15505845,0.00101568,0.006818667,ENSG00000004487,KDM1A
0.144971039,6.926143141,15.97358822,9.30470161487819e-05,0.001358061,ENSG00000004534,RBM6
-0.226260554,6.907955164,8.208934856,0.004656484,0.019949414,ENSG00000004660,CAMKK1
0.10358625,4.490265211,4.993381108,0.026654982,0.072936832,ENSG00000004700,RECQL
-0.101217198,6.885603208,5.970058761,0.015500071,0.048832623,ENSG00000004766,VPS50
0.082808998,0.728229207,0.559778362,0.455321315,0.592432902,ENSG00000004776,HSPB6
-0.017600686,4.606923328,0.063832535,0.800821604,0.87043832,ENSG00000004777,ARHGAP33
-0.160630478,5.16491091,13.87718317,0.000259846,0.002650149,ENSG00000004779,NDUFAB1
0.296499043,7.12380358,6.996631008,0.008876707,0.032490844,ENSG00000004799,PDK4
