logFC,logCPM,F,PValue,adj_pval,target_id,HGNC_symbol
0.176218548,4.088984485,6.025184443,0.015056674,0.466313947,ENSG00000000003,TSPAN6
0.018071291,4.519014313,0.18562553,0.667099584,0.948033096,ENSG00000000419,DPM1
0.006226101,4.482411859,0.026261784,0.87144491,0.986517989,ENSG00000000457,SCYL3
0.090219731,3.573965466,3.625838201,0.058488847,0.649146721,ENSG00000000460,FIRRM
-0.013894507,2.493052549,0.020552283,0.886166385,0.98883664,ENSG00000000938,FGR
-0.078208501,5.600924596,0.787424407,0.376067397,0.877259416,ENSG00000000971,CFH
-0.007268315,4.110003086,0.033139897,0.855753887,0.985860719,ENSG00000001036,FUCA2
0.032032999,6.02054546,0.681284093,0.410240398,0.888688312,ENSG00000001084,GCLC
0.012700124,5.641054067,0.168437666,0.681993463,0.950842189,ENSG00000001167,NFYA
-0.053046623,4.042032243,1.994424338,0.15961049,0.762048441,ENSG00000001460,STPG1
0.024445182,7.383444953,0.821597292,0.365928563,0.872789073,ENSG00000001461,NIPAL3
0.007182807,5.152554882,0.032190073,0.857813483,0.985860719,ENSG00000001497,LAS1L
0.005938297,7.056732061,0.011401217,0.915085534,0.991576246,ENSG00000001561,ENPP4
0.065577814,2.189014371,0.329694697,0.566559,0.932398466,ENSG00000001617,SEMA3F
-0.034439752,3.134786904,0.243227995,0.622487559,0.938678588,ENSG00000001626,CFTR
0.010292585,7.871308569,0.080971524,0.776313096,0.971727743,ENSG00000001629,ANKIB1
0.005857591,3.334211449,0.010083139,0.920127112,0.99297559,ENSG00000001630,CYP51A1
0.07107591,4.05615714,3.211347738,0.074813683,0.670689101,ENSG00000001631,KRIT1
0.09061864,4.716050503,3.263200185,0.072525694,0.665981551,ENSG00000002016,RAD52
-0.134248554,4.217288135,8.01740181,0.005162087,0.354847066,ENSG00000002330,BAD
-0.021220607,5.908698212,0.156438835,0.692926209,0.954526448,ENSG00000002549,LAP3
0.015597614,2.850997559,0.071034853,0.790142066,0.975035757,ENSG00000002587,HS3ST1
-0.191751535,1.150974308,5.00484843,0.026518792,0.560501215,ENSG00000002745,WNT16
-0.08868321,7.053791166,2.097897924,0.149246137,0.753049858,ENSG00000002746,HECW1
0.220869575,1.300929763,7.396639199,0.007181683,0.386563008,ENSG00000002822,MAD1L1
-0.022924357,6.239221857,0.244175148,0.621810824,0.938678588,ENSG00000002834,LASP1
-0.042880613,4.395828327,1.594074736,0.208382743,0.803514175,ENSG00000002919,SNX11
-0.086217427,3.178965904,1.589940149,0.208971844,0.803514175,ENSG00000002933,TMEM176A
-0.028363261,5.586998032,0.948895787,0.331311306,0.855651493,ENSG00000003056,M6PR
0.107968579,3.883947004,2.695818976,0.10236283,0.717710936,ENSG00000003096,KLHL13
-0.120266723,4.714262889,1.376263354,0.24229303,0.821209738,ENSG00000003137,CYP26B1
-0.063227359,5.914700313,1.620577776,0.204657344,0.799863752,ENSG00000003147,ICA1
-0.107125528,4.439750448,2.258112479,0.13467324,0.745596418,ENSG00000003249,DBNDD1
0.015308767,7.00901542,0.320275504,0.572148839,0.93293957,ENSG00000003393,ALS2
0.155060883,2.920995576,8.198231959,0.004692776,0.342172136,ENSG00000003400,CASP10
0.106892895,6.69555597,9.622559164,0.002232812,0.289413732,ENSG00000003402,CFLAR
-0.009517819,2.710124974,0.01546266,0.901178257,0.990383094,ENSG00000003436,TFPI
-0.000566107,5.054434868,0.000315693,0.98584387,0.999617671,ENSG00000003509,NDUFAF7
0.037959964,7.201476816,2.068189291,0.152140952,0.755320355,ENSG00000003756,RBM5
-0.010130257,6.185251091,0.074744546,0.784864266,0.973930697,ENSG00000003987,MTMR7
0.001539875,6.799348334,0.000285456,0.986538793,0.999617671,ENSG00000003989,SLC7A2
-0.062097707,5.54815368,1.649791003,0.200642468,0.79746873,ENSG00000004059,ARF5
0.042614941,4.183545835,0.888284297,0.347209476,0.866039,ENSG00000004139,SARM1
-0.042976582,5.568548802,1.346619529,0.24741088,0.822256487,ENSG00000004142,POLDIP2
-0.053586145,6.018459661,0.601737633,0.438936515,0.899027703,ENSG00000004399,PLXND1
-0.018643084,5.594529341,0.598472191,0.440179082,0.899027703,ENSG00000004455,AK2
-0.110727517,3.80782703,0.973104554,0.325235151,0.854847513,ENSG00000004468,CD38
0.102014964,6.650392935,1.808504024,0.180384355,0.778519795,ENSG00000004478,FKBP4
