logFC,logCPM,F,PValue,adj_pval,target_id,HGNC_symbol
0.118122647,3.712817235,4.492888016,0.035235282,0.576953988,ENSG00000000003,TSPAN6
0.012666182,4.450844519,0.094086797,0.759354856,0.983249091,ENSG00000000419,DPM1
-0.013368958,4.235775997,0.167100864,0.68312665,0.978062204,ENSG00000000457,SCYL3
-0.031757693,3.219041345,0.620558545,0.431747668,0.950234694,ENSG00000000460,FIRRM
0.195779127,2.912122929,5.837745238,0.016560384,0.475179717,ENSG00000000938,FGR
0.024651514,5.39424193,0.072880637,0.787458458,0.983249091,ENSG00000000971,CFH
-0.017447055,3.969533654,0.261903634,0.609364415,0.972021849,ENSG00000001036,FUCA2
-0.027070834,5.923750192,0.811340061,0.368777565,0.939405884,ENSG00000001084,GCLC
-0.035936088,5.427009985,2.589832059,0.10908518,0.767286353,ENSG00000001167,NFYA
-0.016870189,4.25176373,0.206324143,0.650142854,0.975544206,ENSG00000001460,STPG1
-0.036132369,7.544004036,1.595533019,0.207967017,0.87748063,ENSG00000001461,NIPAL3
-0.029474827,5.208660264,0.53905411,0.463661,0.953368018,ENSG00000001497,LAS1L
-0.030511435,6.973481957,0.467793275,0.494773764,0.954397562,ENSG00000001561,ENPP4
0.119253097,2.931090294,1.718720956,0.191321281,0.866016511,ENSG00000001617,SEMA3F
-0.040433897,2.83406914,0.410766245,0.52229463,0.956894474,ENSG00000001626,CFTR
-0.047468764,7.714996911,4.53021294,0.034490968,0.573468618,ENSG00000001629,ANKIB1
0.091484948,3.370902539,2.614905213,0.107397451,0.767286353,ENSG00000001630,CYP51A1
0.021412839,3.894519608,0.415253446,0.520033215,0.956165377,ENSG00000001631,KRIT1
-0.006733047,4.58142029,0.013439767,0.907821121,0.996405076,ENSG00000002016,RAD52
0.082957307,4.354614851,5.271109272,0.022689902,0.512463566,ENSG00000002330,BAD
0.010175199,5.864678333,0.028085601,0.867072355,0.991806752,ENSG00000002549,LAP3
-0.048662422,3.161478103,0.779554366,0.37830934,0.941845755,ENSG00000002587,HS3ST1
0.097462124,1.011222711,1.172265625,0.280185433,0.905909735,ENSG00000002745,WNT16
-0.057086926,7.361594795,2.245619951,0.135525989,0.812303285,ENSG00000002746,HECW1
0.041684004,1.739104132,0.289890024,0.590870759,0.970684925,ENSG00000002822,MAD1L1
0.062518267,6.524353762,7.129086684,0.008190289,0.392177914,ENSG00000002834,LASP1
0.02319075,4.438849738,0.683523259,0.409334138,0.949272485,ENSG00000002919,SNX11
0.007939652,3.139842937,0.013844325,0.906450463,0.996335605,ENSG00000002933,TMEM176A
0.009630942,5.4980301,0.109473662,0.741080911,0.982664842,ENSG00000003056,M6PR
0.113414636,3.555172076,3.39558147,0.066811473,0.700115029,ENSG00000003096,KLHL13
-0.02612953,4.853723623,0.192045135,0.661679737,0.975558504,ENSG00000003137,CYP26B1
-0.06348604,6.015670843,2.4378584,0.119974772,0.781858458,ENSG00000003147,ICA1
0.055932783,4.927954508,1.529273346,0.217631511,0.885911726,ENSG00000003249,DBNDD1
-0.020502656,6.864194374,0.676544107,0.411731587,0.949272485,ENSG00000003393,ALS2
0.13631522,2.747497892,4.942770356,0.027289888,0.534990469,ENSG00000003400,CASP10
0.026757159,6.421155077,0.875714655,0.350475227,0.931185625,ENSG00000003402,CFLAR
0.089746839,2.418842058,1.394161031,0.23906987,0.895149542,ENSG00000003436,TFPI
-0.060013266,4.880719077,5.553294009,0.019385715,0.487667015,ENSG00000003509,NDUFAF7
-0.017773868,6.919225573,0.310410665,0.578033909,0.967704061,ENSG00000003756,RBM5
-0.019810498,5.958497887,0.45451758,0.500954222,0.955390916,ENSG00000003987,MTMR7
0.090059834,6.559099565,0.907335425,0.341940158,0.927291369,ENSG00000003989,SLC7A2
-0.010622856,5.824507111,0.071312594,0.789702646,0.984148097,ENSG00000004059,ARF5
0.05690192,4.302604253,1.889908945,0.170708139,0.849532376,ENSG00000004139,SARM1
-0.008824804,5.889628235,0.13433241,0.714358332,0.978936634,ENSG00000004142,POLDIP2
0.078490592,6.267891278,3.129138142,0.078386076,0.724112989,ENSG00000004399,PLXND1
-0.019122102,5.447446594,0.740982925,0.390348323,0.945582309,ENSG00000004455,AK2
-0.088843918,3.558767865,0.788191163,0.375685115,0.941592092,ENSG00000004468,CD38
0.067182766,6.926517863,1.093945698,0.296825904,0.912617377,ENSG00000004478,FKBP4
-0.041933409,6.587042198,4.949952641,0.027177593,0.534990469,ENSG00000004487,KDM1A
0.001020608,6.755364383,0.000649606,0.979690927,0.999969201,ENSG00000004534,RBM6
0.011966774,7.274522862,0.089074075,0.76565881,0.983249091,ENSG00000004660,CAMKK1
0.046098467,4.279736726,1.70539339,0.193042771,0.866031762,ENSG00000004700,RECQL
-0.015052026,6.752382961,0.266171909,0.606465337,0.972021849,ENSG00000004766,VPS50
0.004192892,0.908116047,0.001278622,0.971509031,0.999496611,ENSG00000004776,HSPB6
0.040030409,4.996364332,0.662407672,0.416652319,0.949272485,ENSG00000004777,ARHGAP33
-0.049831636,5.039694157,1.085775207,0.298632285,0.912617377,ENSG00000004779,NDUFAB1
-0.102784288,6.963331093,1.150540414,0.284692608,0.907141698,ENSG00000004799,PDK4
0.339638806,1.058515774,9.514162536,0.002316683,0.265737614,ENSG00000004838,ZMYND10
-0.014727418,2.650806526,0.083531186,0.772859456,0.983249091,ENSG00000004848,ARX
-0.010833812,4.481526353,0.079949893,0.777649669,0.983249091,ENSG00000004864,SLC25A13
-0.022899591,4.842109263,0.769117907,0.381513101,0.943234803,ENSG00000004866,ST7
0.008822786,7.080903967,0.098722414,0.753686587,0.983249091,ENSG00000004897,CDC27
-0.027270066,3.978175234,0.53676945,0.464608923,0.953368018,ENSG00000004961,HCCS
0.040313027,4.81504813,1.351759263,0.246317805,0.895149542,ENSG00000004975,DVL2
0.030095025,6.843719701,1.13469136,0.288025409,0.911225616,ENSG00000005007,UPF1
0.000466714,5.524932106,0.000164658,0.98977432,0.999969201,ENSG00000005020,SKAP2
-0.000561898,5.646749858,0.000178158,0.989363412,0.999969201,ENSG00000005022,SLC25A5
0.040340545,2.738434496,0.290030053,0.590784465,0.970684925,ENSG00000005059,MCUB
0.032346179,3.390518899,0.792625311,0.374348082,0.941221386,ENSG00000005075,POLR2J
-0.004431177,5.238209191,0.037766544,0.846104445,0.991112588,ENSG00000005100,DHX33
0.012042888,5.770134604,0.092485629,0.761348038,0.983249091,ENSG00000005108,THSD7A
