logFC,logCPM,F,PValue,adj_pval,target_id,HGNC_symbol
0.228029068,3.713681301,14.08557302,0.000226647,0.005066684,ENSG00000000003,TSPAN6
-0.077156906,4.449004879,2.639589984,0.105745767,0.213663414,ENSG00000000419,DPM1
-0.0129196,4.234927441,0.164194452,0.685740547,0.783859157,ENSG00000000457,SCYL3
0.078981686,3.219197926,3.05447818,0.081993008,0.178890098,ENSG00000000460,FIRRM
0.39411103,2.91659412,15.67707572,0.000103203,0.003376121,ENSG00000000938,FGR
0.176444885,5.394787464,3.037917718,0.082818676,0.180204226,ENSG00000000971,CFH
0.042713172,3.968946253,1.104148996,0.294577646,0.441226967,ENSG00000001036,FUCA2
0.030238243,5.923706748,0.766920545,0.382182005,0.529736157,ENSG00000001084,GCLC
0.024474271,5.426967405,0.935001959,0.334690012,0.482089552,ENSG00000001167,NFYA
-0.030044101,4.251591776,0.649674719,0.421150159,0.566622785,ENSG00000001460,STPG1
0.013466923,7.544023429,0.140557306,0.708109737,0.80116426,ENSG00000001461,NIPAL3
0.031395739,5.209812991,0.602413191,0.438540845,0.582024263,ENSG00000001497,LAS1L
-0.041806999,6.973182244,0.694401647,0.405627486,0.552050534,ENSG00000001561,ENPP4
0.329376469,2.935776125,11.71996538,0.000744876,0.009848841,ENSG00000001617,SEMA3F
0.130328742,2.83435986,2.992286681,0.085146474,0.183434637,ENSG00000001626,CFTR
0.012483098,7.715047515,0.239232171,0.625276794,0.737916068,ENSG00000001629,ANKIB1
0.028568056,3.369848611,0.217545623,0.641405116,0.750549882,ENSG00000001630,CYP51A1
0.019920854,3.894348639,0.383396033,0.536469524,0.668780462,ENSG00000001631,KRIT1
0.09418533,4.581755545,2.565158779,0.110760267,0.22089477,ENSG00000002016,RAD52
0.042982721,4.353944465,1.411333163,0.236190826,0.378059744,ENSG00000002330,BAD
0.083317783,5.864538374,1.523792109,0.218439913,0.357912289,ENSG00000002549,LAP3
-0.08646741,3.161638304,2.640968262,0.105656905,0.213550754,ENSG00000002587,HS3ST1
0.060550717,1.008673249,0.499214842,0.480628422,0.618206831,ENSG00000002745,WNT16
-0.182680523,7.361528398,10.96133327,0.001096778,0.012151824,ENSG00000002746,HECW1
0.168301329,1.743656278,4.469384009,0.03569436,0.100012546,ENSG00000002822,MAD1L1
0.032550355,6.524633796,1.727743951,0.190147428,0.325064512,ENSG00000002834,LASP1
0.004176845,4.438474453,0.022207403,0.881681148,0.924242966,ENSG00000002919,SNX11
0.190327849,3.143052039,5.829265509,0.016628549,0.06049092,ENSG00000002933,TMEM176A
-0.03264075,5.497474219,1.037089294,0.309682989,0.457225741,ENSG00000003056,M6PR
0.049524067,3.552853184,0.697793169,0.404485934,0.550743809,ENSG00000003096,KLHL13
-0.170920091,4.853557211,5.829370176,0.016626677,0.06049092,ENSG00000003137,CYP26B1
-0.154583529,6.015176372,10.0648698,0.001740073,0.015703072,ENSG00000003147,ICA1
0.015937974,4.929206433,0.110667352,0.73972085,0.825650411,ENSG00000003249,DBNDD1
-0.081333004,6.863902527,7.200757972,0.007873966,0.037525565,ENSG00000003393,ALS2
