logFC,logCPM,F,PValue,adj_pval,target_id,HGNC_symbol
0.113125919,3.712726942,3.942350357,0.048418159,0.853926227,ENSG00000000003,TSPAN6
0.023136869,4.451046054,0.299968387,0.584498134,0.990344474,ENSG00000000419,DPM1
-0.012518172,4.235864969,0.144264594,0.70447097,0.990344474,ENSG00000000457,SCYL3
-0.040979364,3.219022205,1.044372358,0.308012499,0.990344474,ENSG00000000460,FIRRM
0.095016332,2.911663482,1.937693064,0.165429397,0.990344474,ENSG00000000938,FGR
-0.067000556,5.394180322,0.737244629,0.391547744,0.990344474,ENSG00000000971,CFH
-0.033700828,3.969595928,0.833137413,0.362439283,0.990344474,ENSG00000001036,FUCA2
-0.017350563,5.923755308,0.284444407,0.594380572,0.990344474,ENSG00000001084,GCLC
-0.027812288,5.427013957,1.404037417,0.237420515,0.990344474,ENSG00000001167,NFYA
-0.013468278,4.251785062,0.133031669,0.715685204,0.990344474,ENSG00000001460,STPG1
-0.005046087,7.544001886,0.030864593,0.860716215,0.998765213,ENSG00000001461,NIPAL3
-0.039105478,5.208533869,0.982637288,0.322717119,0.990344474,ENSG00000001497,LAS1L
-0.009098306,6.973515779,0.036352547,0.848977947,0.998765213,ENSG00000001561,ENPP4
0.051230785,2.930607837,0.362175263,0.547966325,0.990344474,ENSG00000001617,SEMA3F
-0.0225656,2.834029529,0.149850726,0.699079903,0.990344474,ENSG00000001626,CFTR
-0.025760418,7.71499117,1.175380935,0.279571614,0.990344474,ENSG00000001629,ANKIB1
0.102793422,3.37102131,3.066781439,0.081404125,0.909016522,ENSG00000001630,CYP51A1
0.030781686,3.894537382,0.8766623,0.350219524,0.990344474,ENSG00000001631,KRIT1
-0.016747087,4.581377319,0.085678147,0.770041216,0.99445753,ENSG00000002016,RAD52
0.096475381,4.354687704,7.387471848,0.007130351,0.597964632,ENSG00000002330,BAD
-0.025811941,5.864694094,0.204182661,0.651843377,0.990344474,ENSG00000002549,LAP3
-0.065137362,3.161459482,1.391194742,0.239571987,0.990344474,ENSG00000002587,HS3ST1
0.087707703,1.011456165,1.076800989,0.300619025,0.990344474,ENSG00000002745,WNT16
-0.041739908,7.361602425,0.910581146,0.341083997,0.990344474,ENSG00000002746,HECW1
0.006696279,1.738639853,0.007829852,0.929576198,0.998765213,ENSG00000002822,MAD1L1
0.049045248,6.524322681,4.401254328,0.03713761,0.819809551,ENSG00000002834,LASP1
0.027825892,4.438890287,0.926617443,0.33687757,0.990344474,ENSG00000002919,SNX11
-0.017971294,3.139509325,0.092285509,0.761599816,0.993733309,ENSG00000002933,TMEM176A
0.005921399,5.498092576,0.042165795,0.837507805,0.998765213,ENSG00000003056,M6PR
0.136042747,3.555418646,5.62370361,0.018646123,0.725957583,ENSG00000003096,KLHL13
-0.028604723,4.85374186,0.193244932,0.660692564,0.990344474,ENSG00000003137,CYP26B1
-0.0473946,6.015726148,1.245110744,0.265794523,0.990344474,ENSG00000003147,ICA1
0.045185281,4.927819743,0.86986736,0.352089179,0.990344474,ENSG00000003249,DBNDD1
-0.013425495,6.864227128,0.254958924,0.614147104,0.990344474,ENSG00000003393,ALS2
0.06127686,2.747080433,1.445779037,0.230595558,0.990344474,ENSG00000003400,CASP10
0.005114334,6.421098828,0.032690418,0.856699308,0.998765213,ENSG00000003402,CFLAR
-0.001810586,2.418377859,0.000714484,0.978701268,0.999440423,ENSG00000003436,TFPI
-0.058900346,4.880832898,4.808977204,0.029436899,0.798150575,ENSG00000003509,NDUFAF7
-0.018324629,6.919222811,0.35365856,0.552705108,0.990344474,ENSG00000003756,RBM5
0.01139615,5.958588935,0.132601345,0.716125257,0.990344474,ENSG00000003987,MTMR7
0.056423183,6.559057368,0.408737525,0.523324658,0.990344474,ENSG00000003989,SLC7A2
0.008165053,5.824608911,0.041050608,0.839641195,0.998765213,ENSG00000004059,ARF5
0.042716144,4.302553333,0.978903529,0.323636218,0.990344474,ENSG00000004139,SARM1
-0.006839716,5.889665288,0.076695776,0.782105178,0.99767901,ENSG00000004142,POLDIP2
0.038448338,6.267826124,0.863028913,0.353984923,0.990344474,ENSG00000004399,PLXND1
-0.033441738,5.447427126,2.16435458,0.142777175,0.987792679,ENSG00000004455,AK2
-0.095062012,3.558641967,0.893282186,0.34570262,0.990344474,ENSG00000004468,CD38
0.080243624,6.926545002,1.312519966,0.253274401,0.990344474,ENSG00000004478,FKBP4
-0.034752417,6.587075305,3.761716714,0.053810847,0.868070408,ENSG00000004487,KDM1A
-0.007324512,6.755348833,0.032829493,0.856398137,0.998765213,ENSG00000004534,RBM6
0.025231236,7.274532546,0.291365801,0.589932403,0.990344474,ENSG00000004660,CAMKK1
0.029733277,4.279815975,0.56002048,0.455109758,0.990344474,ENSG00000004700,RECQL
0.007540923,6.752459442,0.066536973,0.796706074,0.99767901,ENSG00000004766,VPS50
-0.032992494,0.90786878,0.085397579,0.770398214,0.994496942,ENSG00000004776,HSPB6
0.01925561,4.996147851,0.140175047,0.708494038,0.990344474,ENSG00000004777,ARHGAP33
-0.025317909,5.039778647,0.290324644,0.590597209,0.990344474,ENSG00000004779,NDUFAB1
-0.108136388,6.963281914,1.183554065,0.277910893,0.990344474,ENSG00000004799,PDK4
0.304501544,1.058249387,8.073533916,0.004943615,0.57973299,ENSG00000004838,ZMYND10
0.003556629,2.650772561,0.004937905,0.944047191,0.999440423,ENSG00000004848,ARX
-0.004042094,4.481574532,0.011889591,0.913277907,0.998765213,ENSG00000004864,SLC25A13
-0.016601834,4.84211345,0.36583163,0.545954102,0.990344474,ENSG00000004866,ST7
0.029585046,7.080952627,1.119072366,0.291363094,0.990344474,ENSG00000004897,CDC27
-0.012544413,3.978356307,0.103370748,0.748149164,0.99098429,ENSG00000004961,HCCS
0.026975224,4.814894403,0.617464015,0.43289853,0.990344474,ENSG00000004975,DVL2
0.017352846,6.843702923,0.386657851,0.534752273,0.990344474,ENSG00000005007,UPF1
0.00802573,5.52498436,0.058389176,0.809301789,0.99767901,ENSG00000005020,SKAP2
0.004515302,5.646661411,0.010169165,0.919774216,0.998765213,ENSG00000005022,SLC25A5
-0.009886575,2.738689903,0.016181867,0.898900714,0.998765213,ENSG00000005059,MCUB
0.03721255,3.390428132,1.020164287,0.313671251,0.990344474,ENSG00000005075,POLR2J
-0.00298444,5.238269019,0.016317145,0.898481072,0.998765213,ENSG00000005100,DHX33
0.02543465,5.770187845,0.442353707,0.506736097,0.990344474,ENSG00000005108,THSD7A
-0.019414518,5.354877491,0.53023264,0.467339961,0.990344474,ENSG00000005156,LIG3
0.015434303,5.529148569,0.321181389,0.57151847,0.990344474,ENSG00000005175,RPAP3
-0.125026943,2.472554686,6.969493705,0.008930106,0.624654764,ENSG00000005189,REXO5
