,Neurons,Astrocytes,Oligodendrocytes
hB_RNA_12588,0.458919308046916,0.298914960893116,0.242165731059967
hB_RNA_12651,0.618397488675272,0.237761261927599,0.14384124939713
hB_RNA_12680,0.463473370022986,0.422792978091234,0.11373365188578
hB_RNA_13330,0.41431950280673,0.336817557097712,0.248862940095558
hB_RNA_13430,0.510516664168097,0.282715298128226,0.206768037703677
hB_RNA_13441,0.236732951733963,0.464869554324113,0.298397493941924
hB_RNA_13477,0,0.595025208942076,0.404974791057924
BM_10_546,0.552212885549624,0.191542244913326,0.25624486953705
BM_10_548,0.544918065829577,0.23657743698391,0.218504497186513
BM_10_549,0.412684940456707,0.203552996340211,0.383762063203082
BM_10_551,0.55982131556007,0.223449517981092,0.216729166458838
BM_10_553,0.612921875935967,0.220552525826073,0.16652559823796
BM_10_555,0.475011941317252,0.180102656003468,0.34488540267928
BM_10_558,0.348219948317946,0.264741066676814,0.38703898500524
BM_10_561,0.304096377724736,0.391251582326822,0.304652039948442
BM_10_562,0.448307710507294,0.274033515238966,0.27765877425374
BM_10_566,0.489577602014803,0.184854472530022,0.325567925455175
BM_10_569,0.432671362967577,0.213173138029512,0.354155499002912
BM_10_571,0.36857472541234,0.284605732615763,0.346819541971897
BM_10_572,0,0.39454331174639,0.60545668825361
BM_10_573,0.547597691657027,0.215952132874373,0.2364501754686
BM_10_576,0.676575454989116,0.204589323135642,0.118835221875242
BM_10_579,0.288536688134767,0.366849844396599,0.344613467468635
BM_10_581,0.399863599640219,0.184429147503704,0.415707252856077
BM_10_582,0.706396053736436,0.203790292126856,0.089813654136709
BM_10_584,0.533601988999364,0.184163582643965,0.28223442835667
BM_10_588,0.709691259447739,0.194240964100854,0.096067776451407
BM_10_589,0.532400638197474,0.252878528787071,0.214720833015455
BM_10_590,0.477941054820178,0.190948163476359,0.331110781703464
BM_10_591,0.650775770812597,0.19734537318895,0.151878855998453
BM_10_593,0.699359030022291,0.176292758620708,0.124348211357
BM_10_596,0.570440848005127,0.167005276668828,0.262553875326045
BM_10_597,0.692860167818889,0.179244145815505,0.127895686365605
