specimenID,Neurons,Astrocytes,Oligodendrocytes,Microglia
hB_RNA_12588,0.29323104,0.267352083,0.234398642,0.056109288
hB_RNA_12651,0.447180512,0.232101675,0.143140748,0.033890536
hB_RNA_12680,0.317979145,0.350857777,0.145228803,0.033409595
hB_RNA_13330,0.329408627,0.238106567,0.236975488,0.040864288
hB_RNA_13430,0.297658402,0.264832893,0.2634913,0.021558396
hB_RNA_13441,0.167588444,0.307992052,0.340082368,0.036123611
hB_RNA_13477,0.120702243,0.53490214,0.207441513,0.028327513
BM_10_546,0.400267491,0.181696651,0.305874579,0.02720628
BM_10_548,0.383622826,0.226912905,0.236440482,0.039908341
BM_10_549,0.342754848,0.199493239,0.353823179,0.037457804
BM_10_551,0.451836462,0.216658682,0.192383425,0.056509896
BM_10_553,0.434371537,0.212570718,0.163234539,0.073569885
BM_10_555,0.385435395,0.163380053,0.369736085,0.02358713
BM_10_558,0.295351587,0.236647212,0.34371436,0.050401274
BM_10_561,0.329976467,0.239751002,0.253110907,0.045323688
BM_10_562,0.298061415,0.246422461,0.315358289,0.051016445
BM_10_566,0.422145678,0.172143144,0.298961103,0.034365653
BM_10_569,0.348588471,0.198961396,0.332415605,0.044734258
BM_10_571,0.303303305,0.215253536,0.351255792,0.035943624
BM_10_572,0.119777724,0.309846468,0.459456769,0.047275151
BM_10_573,0.371239046,0.203494893,0.289812067,0.033421745
BM_10_576,0.531715023,0.218746349,0.141908168,0.032897179
BM_10_579,0.241875014,0.263748805,0.380910868,0.027407225
BM_10_581,0.316689132,0.171482431,0.39904545,0.031557734
BM_10_582,0.599856558,0.211034147,0.083683429,0.029786143
BM_10_584,0.386088063,0.217693989,0.264580857,0.045141583
BM_10_588,0.555915549,0.185709537,0.145100521,0.032701859
BM_10_589,0.405920825,0.208836043,0.26713721,0.050287265
BM_10_590,0.394926367,0.163927466,0.304016212,0.030500965
BM_10_591,0.437925698,0.212469758,0.226939252,0.031308121
BM_10_593,0.566728889,0.194007193,0.123962187,0.030127414
BM_10_596,0.435945893,0.172076095,0.313145768,0.020486323
BM_10_597,0.564184666,0.195705864,0.150104104,0.025544005
BM_10_600,0.393450842,0.163229151,0.31885937,0.046532843
BM_10_602,0.424275728,0.176001244,0.297285647,0.032204314
BM_10_603,0.467414888,0.18622954,0.238715411,0.033620933
BM_10_604,0.439149231,0.237366908,0.1442556,0.058321565
BM_10_605,0.357880485,0.268880112,0.178904474,0.065746061
BM_10_607,0.301803302,0.239316553,0.317913047,0.052873329
