,Neurons,Astrocytes,Oligodendrocytes
hB_RNA_4312,0.119573351269878,0.333353014822877,0.547073633907245
hB_RNA_4321,0.418722448549962,0.295242172195453,0.286035379254585
hB_RNA_4331,0.626822962343711,0.246042581256935,0.127134456399354
hB_RNA_4351,0.411881182841899,0.264285610413321,0.32383320674478
hB_RNA_4361,0.562041503345383,0.218105140430669,0.219853356223949
hB_RNA_4389,0.250853074554006,0.351024355552974,0.39812256989302
hB_RNA_4403,0.254890923510199,0.252001622172867,0.493107454316934
hB_RNA_4437,0.59128278944856,0.184841570818586,0.223875639732853
hB_RNA_4442,0.202768107183808,0.474203784104784,0.323028108711408
hB_RNA_4456,0.01023986007748,0.503962217508505,0.415927987714527
hB_RNA_4461,0.222291898588074,0.456423563025202,0.321284538386725
hB_RNA_4474,0.190403910541853,0.272142520155399,0.537453569302748
hB_RNA_4489,0.3238987966629,0.274156851001743,0.401944352335357
hB_RNA_4498,0.225755691082055,0.444705565085214,0.329538743832731
hB_RNA_4520,0.428148219394992,0.241503618325862,0.330348162279146
hB_RNA_4521,0.271625469190391,0.502216006144636,0.226158524664972
hB_RNA_4551,0.62799483708997,0.294250082464006,0.077755080446024
hB_RNA_4565,0,0.466187625810417,0.533812374189583
hB_RNA_4573,0.174386069753215,0.276658025416489,0.548955904830297
hB_RNA_4581,0.136561301646129,0.461770422937077,0.401668275416794
hB_RNA_4601,0.245627254805588,0.489545522114326,0.264827223080086
hB_RNA_4611,0.452697045816666,0.304941430468414,0.24236152371492
hB_RNA_4623,0.053804097970119,0.562303430142575,0.383892471887306
hB_RNA_4649,0.355954986718052,0.308888905546762,0.335156107735186
hB_RNA_4651,0.495778418587619,0.368344089231311,0.13587749218107
hB_RNA_4663,0.360027190908151,0.390217012249796,0.249755796842053
hB_RNA_4674,0.183766057179082,0.357556521930516,0.458677420890401
hB_RNA_4688,0.540045381494461,0.307855276488136,0.152099342017403
hB_RNA_4701,0.331054632016274,0.459607285576263,0.209338082407463
hB_RNA_4728,0.038811453049226,0.547166379565447,0.414022167385327
hB_RNA_4731,0.096038077751661,0.463532767595608,0.440429154652731
hB_RNA_4746,0.410565057955281,0.312552708899176,0.276882233145543
hB_RNA_4811,0.272048315162407,0.305341155792751,0.422610529044842
hB_RNA_4827,0.268360230867585,0.415806580322946,0.315833188809469
hB_RNA_4831,0.51777731386695,0.206795204905097,0.275427481227953
hB_RNA_4841,0.496719572517257,0.240439243926048,0.262841183556695
hB_RNA_4851,0.37141430260733,0.293358040590183,0.335227656802487
hB_RNA_4871,0.55134105520188,0.241214007146626,0.207444937651494
hB_RNA_4905,0.573490432925956,0.348652331400852,0.077857235673192
hB_RNA_4919,0,0.473669695655673,0.202825377002528
hB_RNA_4932,0.475391498125898,0.210808846185223,0.313799655688879
hB_RNA_5051,0.521123844145223,0.251652883233592,0.227223272621185
hB_RNA_5111,0.449888869940649,0.234816766320751,0.3152943637386
hB_RNA_5141,0.291359131921879,0.34082533840484,0.367815529673281
hB_RNA_5151,0.604084725734976,0.311230453722371,0.084684820542653
hB_RNA_8305,0.479117199522307,0.167316300975322,0.353566499502371
hB_RNA_8325,0.109925264049381,0.284141026074056,0.605933709876563
hB_RNA_8355,0.069917412223479,0.670436835593572,0.259645752182949
hB_RNA_8375,0.387566326737345,0.342399661383294,0.270034011879361
hB_RNA_8385,0.254119838347138,0.45414939807987,0.291730763572991
hB_RNA_8415,0.29774372487961,0.381046571785123,0.321209703335267
hB_RNA_8455,0.164349309447807,0.349795039522486,0.485855651029707
hB_RNA_8495,0.370785862827803,0.359237673345976,0.269976463826221
hB_RNA_8505,0.33510072890758,0.357507648284367,0.267725924271284
hB_RNA_8535,0.240804854254707,0.56702524471855,0.192169901026743
hB_RNA_8545,0.523849148934686,0.229006279316431,0.247144571748882
hB_RNA_8565,0.436301561332779,0.172196189670194,0.391502248997027
hB_RNA_8595,0.635927856817198,0.223193476634908,0.140878666547894
hB_RNA_8605,0.577456090960164,0.144749599178943,0.277794309860893
hB_RNA_8625,0.507613246721715,0.231735073118473,0.260651680159812
hB_RNA_8635,0,0.568637196121246,0.431362803878754
hB_RNA_8655,0.167386935834371,0.415589506066287,0.417023558099342
hB_RNA_8665,0.407734427617882,0.195972453764611,0.396293118617508
hB_RNA_8715,0.425181705860778,0.234252401657283,0.340565892481939
hB_RNA_8725,0.283799174041276,0.335460053183259,0.380740772775465
hB_RNA_8735,0.025212385544877,0.469831489227065,0.504956125228058
hB_RNA_8745,0.172975225210032,0.33120282616314,0.495821948626828
hB_RNA_8765,0.553414587333637,0.249674796299216,0.196910616367147
hB_RNA_8775,0.521999606327351,0.213511935853574,0.264488457819075
hB_RNA_8785,0.532707052353885,0.251733534749153,0.215559412896963
hB_RNA_8805,0.28985079528266,0.411495981607309,0.298653223110032
hB_RNA_9227,0.287422045385559,0.3438469336544,0.368731020960041
hB_RNA_9228,0.240638357767293,0.426562381011219,0.332799261221489
hB_RNA_9229,0.240762085338917,0.524888575128543,0.23434933953254
hB_RNA_9230,0.546070748632819,0.191030501230415,0.262898750136766
hB_RNA_9231,0.441552682021902,0.217528389909538,0.340918928068559
hB_RNA_8465,0.163507075266406,0.427990562732716,0.408502362000877
hB_RNA_16525,0.576285049838438,0.157380328949424,0.266334621212139
hB_RNA_16535,0.635816761245497,0.208411331697307,0.155771907057196
hB_RNA_16545,0.045841494357721,0.545197961644734,0.408960543997545
hB_RNA_16555,0.369160610887143,0.229436608508975,0.401402780603882
hB_RNA_16565,0.597870855336114,0.191389801901382,0.210739342762504
hB_RNA_16575,0.621036542873249,0.238612566359392,0.140350890767359
hB_RNA_16645,0.694226099206249,0.149657891555398,0.156116009238353
hB_RNA_16655,0.363734098129596,0.328888163545174,0.307377738325229
hB_RNA_16665,0.520260820911248,0.260834363638968,0.218904815449784
hB_RNA_16675,0.520097655224718,0.176400058485165,0.303502286290117
hB_RNA_16685,0.295560232891087,0.195683842733471,0.508755924375442
hB_RNA_16695,0.25245613376264,0.488350295570254,0.259193570667105
hB_RNA_16705,0.560636538938282,0.16484052694099,0.274522934120727
hB_RNA_16715,0.842070086548626,0.078499212633297,0.079430700818077
hB_RNA_16725,0.575269874642759,0.160193435168147,0.264536690189094
hB_RNA_16735,0.6321011156462,0.178319241334679,0.189579643019121
hB_RNA_16745,0.32606196806579,0.263984559484837,0.409953472449373
hB_RNA_16755,0.375449791430518,0.230822034041402,0.393728174528079
hB_RNA_16765,0.079396050955593,0.44726005490397,0.473343894140436
hB_RNA_16775,0.521795871406069,0.172718069925496,0.305486058668436
hB_RNA_16785,0.55576390056137,0.201497840607283,0.242738258831347
hB_RNA_16795,0.212538084025817,0.47425090819577,0.313211007778413
hB_RNA_16805,0.278412627210423,0.368986372487047,0.35260100030253
hB_RNA_16815,0.499841709956409,0.263398038373038,0.236760251670553
hB_RNA_16825,0.499963279850248,0.218419032524682,0.28161768762507
hB_RNA_16835,0.162097936575435,0.493574780446368,0.344327282978196
hB_RNA_16845,0.619549060933042,0.240249188820477,0.14020175024648
hB_RNA_16855,0.639079806583746,0.19934857143475,0.161571621981504
hB_RNA_16865,0.638219536328353,0.188313453688421,0.173467009983226
hB_RNA_16875,0.701551072134906,0.200589195655981,0.097859732209113
hB_RNA_16885,0.316697497187929,0.297819170557529,0.385483332254541
hB_RNA_16895,0.49397908474166,0.256986147896036,0.249034767362304
hB_RNA_16905,0.550209916179054,0.20038917223522,0.249400911585726
hB_RNA_16915,0.490460825351826,0.21224942006204,0.297289754586134
hB_RNA_16925,0.574118179296456,0.185683301951048,0.240198518752496
hB_RNA_16935,0.318864856425027,0.402603617844511,0.278531525730462
hB_RNA_16945,0.309389495702224,0.243640715656634,0.446969788641142
hB_RNA_16955,0.316632241688223,0.198998447713892,0.484369310597885
hB_RNA_16975,0.642067671240435,0.179159448756323,0.178772880003243
hB_RNA_16985,0.329275013770438,0.257250196530982,0.41347478969858
hB_RNA_16995,0.464004928002974,0.172906937774069,0.363088134222957
hB_RNA_17005,0.674704824180369,0.192439957056492,0.132855218763139
hB_RNA_17015,0.61006938498181,0.229902297012009,0.160028318006181
hB_RNA_17025,0.320749637966345,0.296912498587514,0.382337863446141
hB_RNA_17035,0.36299109683323,0.194230732764024,0.442778170402746
hB_RNA_17045,0.315428619950742,0.199212831458401,0.485358548590857
hB_RNA_17055,0.537754344713244,0.167890572756332,0.294355082530424
hB_RNA_17065,0.527480890635233,0.181776225055822,0.290742884308944
hB_RNA_17075,0.680321661581016,0.168633598503335,0.151044739915649
hB_RNA_17085,0.19352179682452,0.457166647137473,0.349311556038007
hB_RNA_17095,0.514907682618341,0.175342508196103,0.309749809185557
hB_RNA_17105,0.295935702034633,0.347047051101083,0.357017246864284
hB_RNA_17115,0.460585033751534,0.194254059071272,0.345160907177194
hB_RNA_17135,0.388210480247693,0.219588036586931,0.392201483165376
hB_RNA_16005,0.729681434129939,0.150705630883717,0.119612934986343
hB_RNA_16015,0.06432186212904,0.612196669053264,0.303909395359034
hB_RNA_16025,0.617829095918631,0.19008251952388,0.192088384557489
