specimenID,Neurons,Astrocytes,Oligodendrocytes,Microglia
hB_RNA_4312,0.15054818,0.187950809,0.546250623,0.026543061
hB_RNA_4321,0.299002318,0.20119959,0.327211487,0.028467834
hB_RNA_4331,0.497934601,0.174701877,0.210440744,0.02174692
hB_RNA_4351,0.352202233,0.221828201,0.282344196,0.040005295
hB_RNA_4389,0.205751535,0.219357182,0.37761585,0.057435386
hB_RNA_4403,0.20636936,0.139903895,0.511383022,0.04202245
hB_RNA_4437,0.441287479,0.176125884,0.273600052,0.028157186
hB_RNA_4442,0.256684764,0.297646041,0.282927772,0.061432548
hB_RNA_4456,0.181949698,0.288316469,0.341614312,0.047564657
hB_RNA_4461,0.205202162,0.254999824,0.332478032,0.039840729
hB_RNA_4489,0.242707196,0.165230743,0.383305149,0.055774221
hB_RNA_4498,0.209707876,0.244918476,0.361160712,0.038383718
hB_RNA_4520,0.246065351,0.157820945,0.493961377,0.024000403
hB_RNA_4521,0.23720034,0.321018359,0.271212818,0.057040921
hB_RNA_4551,0.5164702,0.220333247,0.13082684,0.036274546
hB_RNA_4565,0.081656828,0.243320118,0.506371415,0.042007
hB_RNA_4573,0.165171572,0.135800387,0.581310085,0.034196735
hB_RNA_4581,0.146026959,0.259241535,0.404517136,0.053388879
hB_RNA_4601,0.2384318,0.277453741,0.289828818,0.029425767
hB_RNA_4611,0.308160403,0.239565792,0.285821495,0.038219063
hB_RNA_4623,0.125328144,0.30005777,0.354066227,0.05195068
hB_RNA_4649,0.291861016,0.20732329,0.335936644,0.030714466
hB_RNA_4651,0.405323225,0.2800526,0.156032519,0.037607337
hB_RNA_4663,0.229845584,0.282718301,0.288627752,0.026754324
hB_RNA_4674,0.194662782,0.211717731,0.446058312,0.034224399
hB_RNA_4688,0.362269332,0.253521707,0.221892286,0.04504042
hB_RNA_4701,0.267446415,0.317724327,0.196934882,0.043360953
hB_RNA_4728,0.127796967,0.297499239,0.374083943,0.052049977
hB_RNA_4731,0.161972794,0.25358347,0.424591643,0.04880211
hB_RNA_4827,0.235316276,0.278324766,0.353907386,0.021960758
hB_RNA_4831,0.393095489,0.183116699,0.27384512,0.051229637
hB_RNA_4841,0.384641043,0.205067755,0.252154894,0.04815027
hB_RNA_4851,0.305061081,0.205696399,0.333338265,0.062237037
hB_RNA_4871,0.390790584,0.218769455,0.256261952,0.026437644
hB_RNA_4905,0.462879856,0.261626739,0.101346819,0.038410291
hB_RNA_4919,0.151602558,0.339621144,0.170916667,0.123056452
