,Neurons,Astrocytes,Oligodendrocytes
BM_36_278,0.584667072488069,0.232919309725861,0.18241361778607
BM_36_279,0.634589132758618,0.240452561913739,0.124958305327643
BM_36_281,0.654315026998559,0.210629690689495,0.135055282311946
BM_36_282,0.614054881639003,0.188169707989055,0.197775410371942
BM_36_284,0.440963997273797,0.142493593639697,0.416542409086505
BM_36_286,0.625920454805835,0.192126188100755,0.181953357093409
BM_36_289,0,0.502134710537439,0.497865289462561
BM_36_290,0.415225466551563,0.149210102464775,0.435564430983662
BM_36_291,0.047008061564417,0.391422238892758,0.561569699542825
BM_36_296,0,0.423106715666486,0.576893284333514
BM_36_297,0.257745593034556,0.44824938724856,0.294005019716884
BM_36_298,0.133953724770747,0.463063658265968,0.402982616963285
BM_36_299,0,0.353491341859621,0.646508658140379
BM_36_302,0.214813675986197,0.468189181675235,0.286613243936028
BM_36_304,0.130190033830033,0.417101291078817,0.45270867509115
BM_36_305,0.307157466129705,0.278011061395515,0.41483147247478
BM_36_307,0.219512359403265,0.248115351232068,0.532372289364667
BM_36_308,0.349210608448242,0.332948270555773,0.317841120995985
BM_36_310,0.547319163787459,0.196607095286737,0.256073740925803
BM_36_312,0.399652985495062,0.317713988003849,0.282633026501089
BM_36_314,0.519155073622464,0.201469370998741,0.279375555378795
BM_36_317,0.100032276788519,0.49657146379346,0.403396259418022
BM_36_320,0.505702565964052,0.182624797103978,0.311672636931969
BM_36_322,0.40068673253888,0.259029073058587,0.340284194402533
BM_36_324,0,0.427997285736089,0.572002714263911
BM_36_325,0.026911458589166,0.404422694729025,0.568665846681809
BM_36_326,0.530365506610996,0.19779245671806,0.271842036670945
BM_36_327,0.506675582320206,0.184368027044845,0.308956390634949
BM_36_328,0.270192914114021,0.167334386319059,0.561690686330487
BM_36_329,0.114772809733166,0.448071218869988,0.437155971396845
BM_36_330,0.073961561903048,0.498490565155147,0.427547872941805
BM_36_331,0.069901574715781,0.57919068115567,0.350907744128549
BM_36_332,0.094419310843124,0.330644406904632,0.574936282252244
BM_36_333,0,0.368377669579254,0.631622330420746
BM_36_335,0.489576613830926,0.223322083025257,0.287101303143816
BM_36_336,0,0.532683972874695,0.467316027125305
BM_36_337,0.188145480511173,0.408683264170229,0.403171255318598
BM_36_338,0,0.354910490103528,0.645089509896472
BM_36_339,0.262389616211389,0.25287874799404,0.484731635794571
BM_36_340,0.143602622341241,0.500866928444772,0.355530449213988
BM_36_341,0.720770405682869,0.161093147579238,0.118136446737894
BM_36_342,0,0.491034343492546,0.508965656507454
BM_36_344,0.602683510342463,0.170596675351396,0.22671981430614
BM_36_345,0.04408616927047,0.600875149135428,0.355038681594102
BM_36_346,0.095072258574768,0.606353021371611,0.298574720053621
BM_36_347,0.559527527168621,0.173872188134357,0.266600284697022
BM_36_348,0.174498537178853,0.460399906777744,0.365101556043403
BM_36_349,0.218685716925008,0.393138250432235,0.388176032642757
BM_36_350,0.472492444761679,0.341304723291631,0.18620283194669
BM_36_351,0.639666389227475,0.23463908882877,0.125694521943755
BM_36_352,0.318411615466419,0.277863859216406,0.403724525317175
BM_36_354,0.568987180299839,0.221162205426763,0.209850614273398
BM_36_356,0.54413680658256,0.229326472767627,0.226536720649813
BM_36_358,0.508797590111346,0.246174009564194,0.24502840032446
BM_36_360,0.19874430099288,0.550550820639499,0.250704878367621
BM_36_361,0.128951495064607,0.454782599665943,0.41626590526945
BM_36_362,0.428968547122647,0.198967756603709,0.372063696273643
BM_36_363,0.598368831400977,0.166101225184047,0.235529943414976
BM_36_364,0,0.454329458888107,0.545670541111893
BM_36_365,0.16909981234683,0.4985406315364,0.33235955611677
BM_36_366,0.325494161137119,0.219426090938122,0.455079747924759
BM_36_367,0.546145049706037,0.217737465143679,0.236117485150284
BM_36_368,0.370981308101513,0.252180914536732,0.376837777361755
BM_36_369,0.356325854954361,0.360181190117697,0.283492954927942
BM_36_370,0.225068422546369,0.237139136109939,0.537792441343692
BM_36_371,0.376748396520394,0.350195097959957,0.273056505519649
BM_36_372,0.192902317446335,0.367412838337597,0.424834935538747
BM_36_373,0.693558935229696,0.225447217790979,0.080993846979325
BM_36_374,0.560612377222186,0.253823384389926,0.185564238387888
BM_36_375,0,0.437200697163815,0.562799302836185
BM_36_376,0.651567722984951,0.239245171104191,0.109187105910858
BM_36_377,0.610426043625275,0.241125636747376,0.148448319627349
BM_36_378,0.348934640833391,0.201776588506929,0.44928877065968
BM_36_379,0.345503394625341,0.323250696029007,0.331245909345653
BM_36_380,0.383253013785703,0.515212167371484,0.101534818842813
BM_36_381,0.608816507844299,0.16163428510104,0.229549207054661
BM_36_382,0.37903009176768,0.28198832628163,0.33898158195069
BM_36_383,0.124361869339838,0.475607088589891,0.391653023410928
BM_36_384,0.079337808757205,0.549565593097168,0.371096598145627
BM_36_386,0.302098387874838,0.40335959815491,0.294542013970252
BM_36_387,0,0.485285184197676,0.514714815802324
BM_36_388,0.338938528302229,0.444260515670381,0.207605024199538
BM_36_389,0,0.326072920486668,0.673927079513332
BM_36_390,0.492231830776934,0.205265210375976,0.30250295884709
BM_36_393,0.257648630490692,0.361311993900089,0.38103937560922
BM_36_394,0.326495006130103,0.240368107994751,0.433136885875147
BM_36_395,0.483897469092045,0.216023405579702,0.300079125328253
BM_36_397,0.648596826020605,0.180215488162508,0.171187685816887
BM_36_398,0.380964602984013,0.231409323534135,0.387626073481852
BM_36_399,0.582392318920009,0.213539332373609,0.204068348706382
BM_36_400,0.643736276770591,0.163431430811633,0.192832292417775
BM_36_403,0.605735066334493,0.254273708396939,0.139991225268568
BM_36_405,0.286802313246514,0.272445717446401,0.440751969307085
BM_36_406,0.582392483122015,0.249570971931259,0.168036544946726
BM_36_408,0.632194503917328,0.252614226803777,0.115191269278895
BM_36_410,0.331856313771603,0.504392630832017,0.16375105539638
BM_36_411,0.531177020038797,0.19328934989735,0.275533630063853
BM_36_412,0.338866892886465,0.21360612968571,0.447526977427825
BM_36_413,0.630787260337192,0.202183609895245,0.167029129767563
BM_36_414,0.60868804833102,0.228186942141575,0.163125009527406
BM_36_416,0.561638056297778,0.225763853705626,0.212598089996596
BM_36_417,0.619387333971236,0.179347059404487,0.201265606624277
BM_36_418,0,0.497517536816126,0.502482463183874
BM_36_419,0.570124301706625,0.193207043668951,0.236668654624423
BM_36_420,0.119408351077338,0.692427144903259,0.188164504019403
BM_36_422,0,0.533269234716944,0.463603501445065
BM_36_423,0.484351362788843,0.185309201489687,0.33033943572147
BM_36_424,0.56664981601518,0.190963007460984,0.242387176523836
BM_36_425,0.08518174055223,0.396642904352018,0.518175355095752
BM_36_1107,0.346967654557774,0.355868470823225,0.297163874619
BM_36_517,0.438788339187827,0.206719622801494,0.354492038010679
BM_36_518,0.548121280380984,0.161726752668625,0.290151966950391
BM_36_520,0.613998982994372,0.160560857774188,0.22544015923144
BM_36_521,0.675533284527163,0.169643453669642,0.154823261803196
BM_36_525,0.566621321169642,0.282601568780859,0.150777110049499
BM_36_528,0.69930865358374,0.169165478211953,0.131525868204308
BM_36_531,0.567329019274402,0.242390451110532,0.190280529615066
BM_36_533,0.400771542153011,0.292456377234809,0.30677208061218
BM_36_534,0.495822053022423,0.269597500454125,0.234580446523452
BM_36_537,0.323960638705286,0.371003410188373,0.305035951106341
BM_36_538,0.65695967943478,0.165926256320854,0.177114064244366
BM_36_539,0.109807549636188,0.495367675564314,0.394824774799498
BM_36_540,0,0.474271016735814,0.525728983264186
BM_36_541,0.153600947347507,0.471625472632751,0.374773580019743
BM_36_543,0.466517450401164,0.322120633623341,0.211361915975495
BM_36_544,0.308026714405331,0.441683599238354,0.250289686356315
BM_36_545,0.357150711844396,0.334937665614739,0.307911622540865
BM_36_428,0.561416155459076,0.146904466937317,0.291679377603607
BM_36_430,0.554368495498482,0.160434085509345,0.285197418992173
BM_36_432,0.4750626393027,0.224641345718714,0.300296014978586
BM_36_435,0.545225701322592,0.216392769885314,0.238381528792094
BM_36_437,0.394353214720797,0.285445314820685,0.320201470458517
BM_36_440,0.399029774687039,0.264422303377463,0.336547921935498
BM_36_441,0.631265840953307,0.185644942123949,0.183089216922744
BM_36_448,0.615407619165068,0.198070475259906,0.186521905575026
BM_36_449,0.62151308005736,0.318853177264795,0.059633742677845
BM_36_450,0.615814540835187,0.218870894532556,0.165314564632257
BM_36_455,0.249299608265252,0.349110102372449,0.401590289362298
BM_36_458,0.579474033934141,0.257961036880836,0.162564929185023
BM_36_464,0.451978194138935,0.356067517198898,0.191954288662167
BM_36_465,0.225979097492399,0.464428585570887,0.309592316936714
BM_36_466,0.508173939750331,0.259560815764519,0.23226524448515
BM_36_467,0.589214466624451,0.267798740808851,0.142986792566698
BM_36_471,0.346753014703814,0.379335675634112,0.273911309662073
BM_36_472,0.649672667338554,0.209210867329771,0.141116465331675
BM_36_476,0.303542159739173,0.365503303403408,0.28294860969106
BM_36_480,0.594357097343214,0.168829480183372,0.236813422473413
BM_36_482,0.604460568529708,0.209564926533022,0.185974504937269
BM_36_483,0.594151359044385,0.160493409820331,0.245355231135283
BM_36_486,0.533467023162336,0.226347382510551,0.240185594327113
BM_36_487,0.236589408729135,0.360534248939144,0.402876342331721
BM_36_490,0.499326442366291,0.198514001260331,0.302159556373378
BM_36_491,0,0.39630016343592,0.60369983656408
BM_36_493,0.40533793394991,0.188295149752803,0.406366916297287
BM_36_499,0.422526814931906,0.247868360339366,0.329604824728728
BM_36_502,0.375014706918032,0.224159072459133,0.400826220622835
BM_36_507,0,0.427990209896277,0.572009790103723
BM_36_509,0.426124183895094,0.163873531297015,0.410002284807891
BM_36_510,0.466026587564635,0.243496119624652,0.290477292810713
BM_36_515,0.507104343027517,0.16431817942321,0.328577477549273
hB_RNA_10372,0.526671374604117,0.251390632327093,0.22193799306879
hB_RNA_10392,0.660533630061189,0.190833284717573,0.148633085221238
hB_RNA_10442,0.136938366125824,0.457003244616571,0.406058389257605
hB_RNA_10452,0.716305851248039,0.1786075409407,0.105086607811261
hB_RNA_10462,0.256663545574578,0.369516358012936,0.373820096412485
hB_RNA_10472,0,0.502531706407053,0.497468293592947
hB_RNA_10482,0.194139788435726,0.465789615266066,0.340070596298208
hB_RNA_10492,0.589876607219101,0.267570977326969,0.14255241545393
hB_RNA_10583,0.185308359779471,0.249963244880486,0.564728395340044
hB_RNA_10617,0.194238623589052,0.314116901775836,0.479249740450593
hB_RNA_10642,0.183681623176571,0.327677109959702,0.483693955985239
hB_RNA_10682,0.090489344853332,0.407439818239494,0.502070836907174
hB_RNA_10702,0.086805879392974,0.441499947580795,0.471694173026231
hB_RNA_10722,0.034332881874581,0.412586323214271,0.538064197229907
hB_RNA_10762,0.463072031987045,0.324461588305782,0.212466379707173
hB_RNA_10822,0.616586065672901,0.146133187095296,0.237280747231803
hB_RNA_10832,0.083741079888549,0.397754125308753,0.518504794802699
hB_RNA_10842,0.482858555270452,0.309307492829111,0.207833951900437
hB_RNA_10882,0.065020182617485,0.420084003486264,0.514895813896251
hB_RNA_10962,0,0.49601481255863,0.50398518744137
hB_RNA_10972,0.499900758781244,0.163230538255753,0.336868702963003
hB_RNA_11042,0.265766859378599,0.35709289117105,0.377140249450351
hB_RNA_11052,0,0.547751297487147,0.452248702512853
hB_RNA_11062,0.475526464206227,0.247972778127548,0.276500757666224
hB_RNA_11072,0.528554973284577,0.215554930558148,0.255890096157275
hB_RNA_11132,0.491222238070468,0.327932659848158,0.180845102081373
hB_RNA_11142,0.347482965567088,0.33801196548337,0.314505068949542
hB_RNA_12362,0.401921269753227,0.516865334948075,0.081213395298698
hB_RNA_12382,0.561259277660832,0.331835396315131,0.106905326024037
hB_RNA_10552_resequenced,0.367880175150162,0.197535022378284,0.434584802471554
hB_RNA_10632_resequenced,0,0.485047579519518,0.514952420480483
hB_RNA_10662_resequenced,0.219131037344656,0.318588955533567,0.462280007121778
hB_RNA_10672_resequenced,0.326510906979959,0.30215132162089,0.371337771399151
hB_RNA_10742_resequenced,0.475306672094503,0.206377868000465,0.318315459905031
hB_RNA_12282_resequenced,0,0.450256158767816,0.547657048794351
hB_RNA_10512_L43C014,0.053307072770338,0.482772646879504,0.463920280350158
hB_RNA_10622_L43C014,0.491502994705325,0.260540899727267,0.247956105567408
