,Neurons,Astrocytes,Oligodendrocytes,Microglia
BM_36_278,0.466198044663575,0.187510235028765,0.232325332520042,0.029849246302356
BM_36_279,0.432050680686506,0.230660127495002,0.179862457743693,0.041292837997254
BM_36_281,0.515754604144968,0.196540064635872,0.162222437936527,0.033635839497126
BM_36_282,0.459491462782901,0.209653015971158,0.200064065342369,0.040936674930728
BM_36_284,0.41035602292284,0.146508006477472,0.327722736181658,0.051764429582333
BM_36_286,0.389316593621692,0.171039572651925,0.281878085206594,0.049707754670749
BM_36_289,0.074007133640839,0.326168387050357,0.425163029038154,0.082411761710749
BM_36_290,0.345358670552627,0.164753349247629,0.405417498031753,0.037373803898338
BM_36_291,0.123894243668744,0.229866867081959,0.510146284518474,0.045006262177347
BM_36_296,0.092046154452374,0.264554649893705,0.491304813938564,0.048913578456297
BM_36_297,0.257243375080673,0.303344099615463,0.258853447695383,0.075777283459747
BM_36_298,0.200733480524002,0.279153676945009,0.349603194957612,0.077216524614497
BM_36_299,0.108255732879856,0.242897979083751,0.504648101250156,0.060169860153263
BM_36_302,0.302639953711662,0.306966607002455,0.17064402775016,0.104974126734849
BM_36_304,0.191807477946048,0.300782185371947,0.38464240316059,0.053443899964053
BM_36_305,0.272988772557938,0.241055524228522,0.344003436129769,0.072460768321411
BM_36_307,0.222895568596223,0.194548380759042,0.473694086350874,0.040431360700098
BM_36_308,0.309768157318715,0.263981645990391,0.284733019219629,0.054841997544729
BM_36_310,0.382275101819432,0.194952017370209,0.276904582997549,0.043593904285329
BM_36_312,0.327093611938229,0.240917778438698,0.256083734683153,0.064339989341088
BM_36_314,0.401387998541675,0.161028860003756,0.330247743577272,0.022194394018054
BM_36_317,0.196302155644122,0.306054753307648,0.249418316364163,0.085577943899215
BM_36_320,0.393886575167401,0.160632979008248,0.352463169784821,0.03284631431703
BM_36_322,0.273104026760258,0.215353723148655,0.380790538815222,0.058033420585775
BM_36_324,0.025336649442958,0.254622905280188,0.408186826495397,0.02617066372429
BM_36_325,0.13982434864124,0.269828542619164,0.403308769206746,0.066207918317704
BM_36_326,0.392600610832461,0.177477002804731,0.309786639417176,0.033180225124423
BM_36_327,0.401739200406857,0.162233393327088,0.285424795143456,0.057852866418552
BM_36_328,0.283545416814618,0.175454571156683,0.380440223447964,0.086783467594501
BM_36_329,0.193243153159376,0.32496803661657,0.277423736967839,0.059645721154135
BM_36_330,0.127760701897277,0.306475600854681,0.416506191937183,0.056203285682254
BM_36_331,0.116234226757588,0.368014843861123,0.283844832056172,0.07674917924661
BM_36_332,0.273360833362741,0.241483913114411,0.313576425012564,0.07766177612276
BM_36_333,0.172635012347923,0.269033861081644,0.425956098411735,0.067885281448517
BM_36_335,0.441602876672169,0.202945538940975,0.240607617367017,0.053036397652647
BM_36_336,0.087396934622508,0.328255280853911,0.387010906865118,0.063559568435627
BM_36_337,0.224701821664077,0.288507056799292,0.333602107791056,0.077430046025223
BM_36_338,0.090963921921339,0.215120028667285,0.531001950523548,0.04490489342997
BM_36_339,0.276619182443229,0.199608196881442,0.388323708269004,0.062851350533829
BM_36_340,0.167118941405473,0.355648740428223,0.286141635399285,0.07270305616005
BM_36_341,0.59814219243212,0.168626757026472,0.10360526918637,0.0415614762187
BM_36_342,0.139265542030931,0.259000104757078,0.338652195958811,0.071168228687107
BM_36_344,0.504391895009588,0.173680293816506,0.190360515734549,0.069041621324761
BM_36_345,0.142696792684704,0.396377571550801,0.317968506232307,0.050842656826071
BM_36_346,0.172647469533292,0.41770626146338,0.225128425263752,0.057920866561601
BM_36_347,0.433018536096785,0.177629060453381,0.273458111300056,0.0568148016262
BM_36_348,0.199789083750919,0.288668849724877,0.329093315116445,0.058076547616332
BM_36_349,0.188539142232203,0.294636813394079,0.325818390136495,0.090888898283683
BM_36_350,0.291195260205593,0.295494221966839,0.226480131861425,0.065389282424634
BM_36_351,0.481650888266802,0.224710558735875,0.146985919429746,0.04781132372352
BM_36_352,0.270307439703225,0.217141209556469,0.37957132453657,0.051433915460574
BM_36_354,0.400919087057515,0.206346121519512,0.249832027667307,0.04744711558077
BM_36_356,0.417919249382337,0.204727451937221,0.269919903091477,0.040227753029365
BM_36_358,0.402482886089439,0.21465418435998,0.246063389554673,0.048656331525198
BM_36_360,0.21694796601445,0.325542889323335,0.269125479914453,0.059246136391724
BM_36_361,0.167473976573517,0.283300596962435,0.369095885800219,0.054795062842601
BM_36_362,0.335326444647619,0.148040832796912,0.430340588105273,0.022523136034245
BM_36_363,0.490553335954454,0.16271714621429,0.235560464933182,0.038727328611749
BM_36_364,0.133051992043919,0.293267734291233,0.348514294818206,0.069609472567291
BM_36_365,0.191667822026381,0.283920319574915,0.331590448857296,0.054438582805132
BM_36_366,0.252005699639746,0.188846818971816,0.44476016675278,0.062332301279411
BM_36_367,0.435135932570499,0.144184451960513,0.336613453962841,0.023871265558604
BM_36_368,0.368460468463572,0.20094743841019,0.276647711318084,0.087686781821948
BM_36_369,0.29378727099766,0.227193878921446,0.292576777896644,0.054969975524947
BM_36_370,0.214249892120312,0.170797240443299,0.500904734550685,0.045858388107497
BM_36_371,0.302087490731466,0.241080608808528,0.309480076987068,0.035302158455246
BM_36_372,0.216844280614027,0.291014722747529,0.306201790111861,0.098111629870857
BM_36_373,0.493091039880421,0.216098925076128,0.091438743475945,0.105248379844468
BM_36_374,0.360803836876047,0.236590217075715,0.252919426327435,0.053573847123466
BM_36_375,0.077524767906056,0.267319256235151,0.516895927304684,0.035380659326194
BM_36_376,0.490189507154122,0.236552631541963,0.106916198180006,0.053804604083111
BM_36_377,0.445699713205227,0.224382841154829,0.172852501667094,0.054700511055603
BM_36_378,0.271320282578574,0.173364399028009,0.449051803746023,0.047421339388683
BM_36_379,0.265327849050408,0.308291257523399,0.300681273800545,0.064428667228055
BM_36_380,0.265508395376621,0.422587065368955,0.136266753742491,0.066804567524719
BM_36_381,0.482173151929858,0.164744936302694,0.25918812503997,0.032196709968811
BM_36_382,0.324576771912157,0.239858007261392,0.341049038741356,0.037004470636919
BM_36_383,0.172722467088095,0.322986598276563,0.304008763275495,0.113432648296649
BM_36_384,0.138025726495264,0.32204695247543,0.388550467541127,0.052864023197494
BM_36_386,0.299606342154661,0.276444748430333,0.26227772885443,0.072729872230458
BM_36_387,0.104712929276656,0.2576270228347,0.43781411742325,0.084900137747771
BM_36_388,0.351664877900613,0.300221194699821,0.181729160327094,0.088871690108585
BM_36_389,0.051916256660353,0.1681887528175,0.645051375488315,0.043501578473305
BM_36_390,0.442411149498651,0.178419181393282,0.278444211163016,0.04370891366052
BM_36_393,0.226875468620186,0.25199572549564,0.359220309992116,0.072401813467263
BM_36_394,0.307549796245781,0.195131298549117,0.35293643094661,0.064863325789883
BM_36_395,0.408456269905564,0.151181124942102,0.340130220526634,0.037063050441883
BM_36_397,0.528956070013286,0.172858901231708,0.204402799017113,0.032089687935481
BM_36_398,0.321651450101639,0.152521084557571,0.401503188870204,0.062660507673907
BM_36_399,0.414120716307243,0.187943392268146,0.270876881047424,0.038481770574746
BM_36_400,0.48318904163377,0.15022722356295,0.277546693687592,0.023598980629333
BM_36_403,0.378609625143532,0.25681309359242,0.195829527205722,0.050250177505299
BM_36_405,0.25188586764793,0.188987516548196,0.427996065523773,0.05614837644023
BM_36_406,0.40707324711983,0.216895113882689,0.227726014156561,0.047801389466131
BM_36_408,0.451443467274304,0.222551171913904,0.169570252740083,0.044299938949666
BM_36_410,0.256874772980411,0.328572649949366,0.22422435311568,0.033378706441483
BM_36_411,0.384294312511087,0.169165883247795,0.351433132117058,0.037770792482638
BM_36_412,0.316894787271231,0.197769716716036,0.338577993602849,0.085181877463256
BM_36_413,0.511743891712465,0.218921078907352,0.133138837035538,0.041134274785385
BM_36_414,0.440254556197837,0.194118857232986,0.250610272308227,0.03426201708481
BM_36_416,0.437093666885577,0.178322306354772,0.266217996438172,0.03221428044295
BM_36_417,0.494519627919441,0.160205000822995,0.249776276270215,0.02028414568785
BM_36_418,0.114725796270448,0.256118947288812,0.274558425096333,0.061388329598165
BM_36_419,0.482575636061558,0.190973477057068,0.21973941582495,0.031530892834786
BM_36_420,0.139998396618186,0.471453953675405,0.145870619628865,0.048059927593031
BM_36_422,0.127996511877999,0.298539705390166,0.353554110589402,0.079526520660481
BM_36_423,0.401916398507717,0.182980987518407,0.281190233444336,0.055387529272556
BM_36_424,0.44255340415711,0.179968938075098,0.250565550482904,0.057651664319753
BM_36_425,0.147008454410838,0.244730285210284,0.48173111616511,0.058017303193335
BM_36_1107,0.265868472361959,0.253099220749967,0.289637604356117,0.060939968424987
BM_36_517,0.357632801206682,0.172007798363915,0.36406929218682,0.037405532815403
BM_36_518,0.454084737001077,0.123931913990619,0.320401088258436,0.023397501100275
BM_36_520,0.496649888117513,0.177911538098827,0.203752477428842,0.030547288881259
BM_36_521,0.574178526853687,0.133637093125584,0.17193304536067,0.027992052540724
BM_36_525,0.421317199638123,0.24690134457712,0.158254810638021,0.051098068726533
