,Neurons,Astrocytes,Oligodendrocytes
BM_22_213,0.550181469629623,0.174253547220683,0.275564983149693
BM_22_222,0.47195802121042,0.145720620791053,0.382321357998527
BM_22_229,0.589512067447376,0.185118971758773,0.225368960793851
BM_22_230,0.555905647771383,0.230825198098066,0.213269154130551
BM_22_231,0.570382394256397,0.200284691984058,0.229332913759545
BM_22_234,0.313869077115186,0.196235911923642,0.489895010961173
BM_22_238,0.161672876073389,0.383685012067887,0.454642111858724
BM_22_100,0.524466943027545,0.135323399525088,0.340209657447367
BM_22_101,0.515949303324946,0.256903858463848,0.227146838211206
BM_22_102,0.570844498763209,0.184157966369255,0.244997534867537
BM_22_105,0,0.495650750766254,0.504349249233746
BM_22_106,0,0.518799023924467,0.481200976075533
BM_22_108,0,0.634183312844768,0.365816687155232
BM_22_110,0,0.418398007497793,0.550148538220009
BM_22_111,0.628779172721413,0.189328437727736,0.181892389550851
BM_22_1111,0.531547627446451,0.300756200640464,0.167696171913086
BM_22_112,0.610997022936883,0.169942343235486,0.219060633827631
BM_22_113,0.315058394059627,0.480891134495885,0.204050471444487
BM_22_114,0.623951117080227,0.180629946546897,0.195418936372876
BM_22_115,0.460035068153548,0.203830160904659,0.336134770941794
BM_22_116,0.585815741417458,0.21738781158846,0.196796446994083
BM_22_117,0.486799367357263,0.193684366607475,0.319516266035262
BM_22_119,0,0.321547828875092,0.678452171124908
BM_22_120,0.497830452967932,0.257497826184968,0.244671720847101
BM_22_123,0.491645080949384,0.189811701325076,0.31854321772554
BM_22_124,0.491902525556174,0.142728872172318,0.365368602271508
BM_22_126,0,0.347867021853335,0.466354609143975
BM_22_130,0,0.385107132072972,0.614892867927028
BM_22_132,0,0.447226163165801,0.552773836834199
BM_22_133,0.297374792538466,0.217269502004027,0.485355705457507
BM_22_134,0.462401308493549,0.266070618819804,0.271528072686646
BM_22_135,0.397365526925181,0.244802602293372,0.357831870781447
BM_22_136,0.629576819882415,0.226809510647352,0.143613669470233
BM_22_137,0.597514884444591,0.185832490639318,0.216652624916091
BM_22_138,0.58177605516061,0.252278796808229,0.16594514803116
BM_22_139,0.475912743756196,0.370021122084897,0.154066134158907
BM_22_14,0.672904020477966,0.160587539464124,0.166508440057911
BM_22_143,0.706471552427322,0.155262367856041,0.138266079716637
BM_22_144,0.432283444680615,0.22190620360503,0.345810351714355
BM_22_146,0.462985767147558,0.272517993208985,0.264496239643457
BM_22_147,0,0.801525008026773,0.198474991973227
BM_22_148,0.42263970445851,0.385858371818893,0.191501923722597
BM_22_15,0.502803272735242,0.203014062984626,0.294182664280131
BM_22_151,0.535119893423717,0.221853837289022,0.243026269287261
BM_22_152,0.332901699804811,0.146990707685764,0.520107592509424
BM_22_154,0.583683467109958,0.180692062767397,0.235624470122645
BM_22_156,0.429413452290953,0.252687570428744,0.317898977280303
BM_22_157,0.465866884389622,0.270852292995624,0.263280822614753
BM_22_158,0,0.442943152496535,0.557056847503465
BM_22_159,0.548902649934318,0.200274711847571,0.250822638218111
BM_22_160,0.46691026672433,0.213669035252346,0.319420698023324
